"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","Bray","~","Rainfall",-0.0681177166816446,0.0308415580514933,-2.20863409584933,0.0272001017988299,-0.128566059689673,-0.00766937367361639
"2","Bray","~","Distance",-0.0738892151760039,0.0363034568819464,-2.03532174404991,0.0418185096784223,-0.145042683178922,-0.00273574717308622
"3","Bray","~","Temperature",0.0837037380906008,0.041977006968748,1.99403778723239,0.0461479251502648,0.0014303162530679,0.165977159928134
"4","Temperature","~","Distance",0.783999566510324,0.00725708421332071,108.032309322146,0,0.769775942819441,0.798223190201206
"5","Rainfall","~","Temperature",0.682477242936459,0.0115444666397405,59.1172606092611,0,0.659850504101843,0.705103981771074
"6","Multifuncitonality","~","Bray",0.113283037048288,0.0219204972262265,5.16790453606827,2.36733166403269e-07,0.0703196519616738,0.156246422134902
"7","Multifuncitonality","~","Rainfall",0.0372647917051591,0.0301258905425388,1.23696896702655,0.216098603883116,-0.0217808687604127,0.0963104521707309
"8","Multifuncitonality","~","Temperature",0.0881687478445802,0.0409517795070196,2.15298941599026,0.031319510356699,0.00790473490799624,0.168432760781164
"9","Multifuncitonality","~","Distance",0.0600789824779175,0.0387760915997664,1.54938210632552,0.121289892640923,-0.0159207605188508,0.136078725474686
"10","Multifuncitonality","~","pH",0.0659673032268774,0.0269886015022492,2.44426533999473,0.0145147470131175,0.0130706162893653,0.11886399016439
"11","Bray","~~","Bray",0.994988273706851,0.00318550075598586,312.349093572548,0,0.988744806952393,1.00123174046131
"12","Temperature","~~","Temperature",0.385344679711625,0.011379101740817,33.8642441634376,0,0.363042050123206,0.407647309300043
"13","Rainfall","~~","Rainfall",0.53422481287385,0.0157576715225583,33.902522470345,0,0.503340344209423,0.565109281538276
"14","Multifuncitonality","~~","Multifuncitonality",0.945249347892663,0.00994465386667444,95.0510053507534,0,0.925758184475264,0.964740511310062
"15","Distance","~~","Distance",1,0,NA,NA,1,1
"16","Distance","~~","pH",0.581664604032436,0,NA,NA,0.581664604032436,0.581664604032436
"17","pH","~~","pH",1,0,NA,NA,1,1
