"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","Bray","~","pH",0.457752945530435,0.0163802009033824,27.9455025143137,0,0.425648341700275,0.489857549360595
"2","Bray","~","Rainfall",0.384370504158759,0.0195239784960205,19.6870993397736,0,0.346104209471624,0.422636798845893
"3","Bray","~","Temperature",-0.268140670228835,0.0269614146834412,-9.94534869097641,0,-0.320984071980629,-0.21529726847704
"4","Bray","~","Distance",0.346189477040851,0.025048909818616,13.8205406761283,0,0.297094515944372,0.39528443813733
"5","Temperature","~","Distance",0.783999569711173,0.00725708405781259,108.032312078177,0,0.769775946325081,0.798223193097266
"6","Rainfall","~","Temperature",0.682477241475388,0.0115444664919494,59.1172612395141,0,0.659850502930438,0.705103980020338
"7","Multifuncitonality","~","Bray",0.134731573060379,0.0334120740298725,4.03242172095992,5.52050062321285e-05,0.0692451113130425,0.200218034807715
"8","Multifuncitonality","~","pH",-0.00821767211294537,0.0312119258584179,-0.263286288395724,0.792329927254682,-0.0693919226835788,0.0529565784576881
"9","Multifuncitonality","~","Rainfall",0.0266738968676946,0.0278546879777993,0.957608891148024,0.338260014067176,-0.0279202883693929,0.0812680821047821
"10","Multifuncitonality","~","Distance",0.0910176816169558,0.0311179723141824,2.92492327899763,0.00344541155436673,0.0300275766092439,0.152007786624668
"11","Bray","~~","Bray",0.412888342075119,0.0123331844953499,33.47783714991,0,0.388715744649546,0.437060939500693
"12","Temperature","~~","Temperature",0.385344674692695,0.0113791016109311,33.8642441089128,0,0.363042045358849,0.407647304026542
"13","Rainfall","~~","Rainfall",0.534224814868145,0.0157576716043862,33.9025224208531,0,0.503340346043338,0.565109283692951
"14","Multifuncitonality","~~","Multifuncitonality",0.953934570346895,0.00919914554469053,103.698171282601,0,0.935904576390759,0.971964564303031
"15","pH","~~","pH",1,0,NA,NA,1,1
"16","pH","~~","Distance",0.581664604032436,0,NA,NA,0.581664604032436,0.581664604032436
"17","Distance","~~","Distance",1,0,NA,NA,1,1
