"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","Bray","~","pH",0.0299910392531982,0.0113226849191706,2.64875685116167,0.0080788433000214,0.00779898460332894,0.0521830939030675
"2","Bray","~","Rainfall",0.161583645768539,0.0217767247294067,7.4200159930543,1.17017506795491e-13,0.118902049597659,0.204265241939418
"3","Bray","~","Distance",0.169399585262319,0.0143457430276512,11.8083521317651,0,0.141282445596656,0.197516724927982
"4","Bray","~","Temperature",-0.157854999425627,0.0235995063777469,-6.68891106868559,2.24837926054988e-11,-0.204109181978934,-0.11160081687232
"5","Rainfall","~","Temperature",0.862133298334678,0.0028044409448809,307.417169867091,0,0.856636695085942,0.867629901583414
"6","Temperature","~","Distance",0.634594758031687,0.00601501076074317,105.501849169307,0,0.622805553574009,0.646383962489364
"7","Multifuncitonality","~","Bray",0.0919948918760884,0.00926373690720706,9.93064600145516,0,0.0738383011757081,0.110151482576469
"8","Multifuncitonality","~","Rainfall",-0.450152575398402,0.0177609302277746,-25.3451012770971,0,-0.484963358976769,-0.415341791820035
"9","Multifuncitonality","~","Distance",0.187535436429869,0.011915588296975,15.7386636526774,0,0.164181312513191,0.210889560346547
"10","Multifuncitonality","~","Temperature",0.76087845799188,0.0184106796217967,41.3281026894338,0,0.724794189002253,0.796962726981507
"11","Multifuncitonality","~","pH",0.0524533878838473,0.00932292498107619,5.62628016318032,1.84137194381151e-08,0.0341807906903692,0.0707259850773254
"12","Bray","~~","Bray",0.965338247229156,0.00402031976558878,240.114792731613,0,0.957458565282267,0.973217929176044
"13","Rainfall","~~","Rainfall",0.256726175902569,0.00483560381668215,53.0908208436969,0,0.247248566578368,0.266203785226771
"14","Temperature","~~","Temperature",0.597289493078705,0.00763418856143747,78.2387660812819,0,0.5823267584471,0.61225222771031
"15","Multifuncitonality","~~","Multifuncitonality",0.655236030351504,0.00837823986354723,78.2068836680556,0,0.638814981965113,0.671657078737894
"16","pH","~~","pH",1,0,NA,NA,1,1
"17","pH","~~","Distance",0.212270192964436,0,NA,NA,0.212270192964436,0.212270192964436
"18","Distance","~~","Distance",1,0,NA,NA,1,1
