"","index","treat.type","treatment.id","Neutral.uw","Below.uw","Above.uw","Neutral.wt","Below.wt","Above.wt"
"1","obs","NA","All",0.0841510594143117,0,0.915848940585688,0.00175932553979483,0,0.998240674460205
"2","mean","NA","All",0.0783242979856746,0,0.921675702014325,0.00207744409640347,0,0.997922555903597
"3","stdev","NA","All",0.0071385146823992,0,0.0071385146823992,0.000298584430406547,0,0.000298584430406549
"4","min","NA","All",0.0578027904795404,0,0.90374833711558,0.00137937755726186,0,0.996456427325996
"5","q25","NA","All",0.0731435676865315,0,0.916461949385492,0.00187164579867357,0,0.997758255628389
"6","median","NA","All",0.0785416480619567,0,0.921458351938043,0.00204121373264122,0,0.997958786267359
"7","q75","NA","All",0.0835380506145077,0,0.926856432313469,0.00224174437161075,0,0.998128354201326
"8","max","NA","All",0.0962516628844197,0,0.94219720952046,0.0035435726740042,0,0.998620622442738
"9","LowerWhisker","NA","All",0.0578027904795404,0,0.90374833711558,0.00137937755726186,0,0.997213290232343
"10","LowerHinge","NA","All",0.0731299331748638,0,0.916460970598455,0.00187145664094721,0,0.99775823148024
"11","Median.plot","NA","All",0.0785416480619567,0,0.921458351938043,0.00204121373264122,0,0.997958786267359
"12","HigherHinge","NA","All",0.0835390294015455,0,0.926870066825136,0.00224176851975948,0,0.998128543359053
"13","HigherWhisker","NA","All",0.0962516628844197,0,0.94219720952046,0.00278670976765734,0,0.998620622442738
"14","Outlier1","NA","All",NA,NA,NA,0.00281995450471533,NA,0.997180045495285
"15","Outlier2","NA","All",NA,NA,NA,0.00296040538876055,NA,0.997039594611239
"16","Outlier3","NA","All",NA,NA,NA,0.00302421873067101,NA,0.996975781269329
"17","Outlier4","NA","All",NA,NA,NA,0.00288241372149348,NA,0.997117586278507
"18","Outlier5","NA","All",NA,NA,NA,0.00301317843020598,NA,0.996986821569794
"19","Outlier6","NA","All",NA,NA,NA,0.00292628324453692,NA,0.997073716755463
"20","Outlier7","NA","All",NA,NA,NA,0.00285982460274818,NA,0.997140175397252
"21","Outlier8","NA","All",NA,NA,NA,0.00279861439412193,NA,0.997201385605878
"22","Outlier9","NA","All",NA,NA,NA,0.00281657091580827,NA,0.997183429084192
"23","Outlier10","NA","All",NA,NA,NA,0.0035435726740042,NA,0.996456427325996
"24","Outlier11","NA","All",NA,NA,NA,0.00295561124355425,NA,0.997044388756446
"25","Outlier12","NA","All",NA,NA,NA,0.00294609119719924,NA,0.997053908802801
"26","Outlier13","NA","All",NA,NA,NA,0.00286880128693346,NA,0.997131198713067
"27","Outlier14","NA","All",NA,NA,NA,0.0028189447721067,NA,0.997181055227893
"28","Outlier15","NA","All",NA,NA,NA,0.00315291469570052,NA,0.9968470853043
"29","Outlier16","NA","All",NA,NA,NA,0.00286013412688106,NA,0.997139865873119
"30","Outlier17","NA","All",NA,NA,NA,0.00336518548831319,NA,0.996634814511687
"31","Outlier18","NA","All",NA,NA,NA,0.00300547655228325,NA,0.996994523447717
"32","Outlier19","NA","All",NA,NA,NA,0.00283926914439803,NA,0.997160730855602
"33","Outlier20","NA","All",NA,NA,NA,0.00289362987512928,NA,0.997106370124871
"34","Outlier21","NA","All",NA,NA,NA,0.00304629352011793,NA,0.996953706479882
"35","Outlier22","NA","All",NA,NA,NA,0.00320866320693126,NA,0.996791336793069
"36","Outlier23","NA","All",NA,NA,NA,0.00296672203495854,NA,0.997033277965041
"37","Outlier24","NA","All",NA,NA,NA,0.00288434235849838,NA,0.997115657641502
"38","Outlier25","NA","All",NA,NA,NA,0.00293729285628021,NA,0.99706270714372
"39","Outlier26","NA","All",NA,NA,NA,0.00294235797087959,NA,0.99705764202912
"40","Outlier27","NA","All",NA,NA,NA,0.00292706471405179,NA,0.997072935285948
