"","Neutral.uw","Below.uw","Above.uw","Neutral.wt","Below.wt","Above.wt"
"obs",0.0842279213958136,0,0.915772078604186,0.00179710293942906,0,0.998202897060571
"mean",0.078024591844508,0,0.921975408155492,0.00153766213252402,0,0.998462337867476
"stdev",0.00692977936436633,0,0.00692977936436633,0.000203748611153871,0,0.000203748611153872
"min",0.0523661041819516,0,0.899037471690344,0.00101581446241146,0,0.997816190888209
"q25",0.0735764871759656,0,0.917133124775878,0.00138357989135216,0,0.998322385965925
"median",0.0781639232799154,0,0.921836076720085,0.0015234737076616,0,0.998476526292338
"q75",0.0828668752241223,0,0.926423512824034,0.00167761403407517,0,0.998616420108648
"max",0.100962528309656,0,0.947633895818048,0.00218380911179141,0,0.998984185537588
"LowerWhisker",0.0596920207737039,0,0.904532566900998,0.00101581446241146,0,0.997886283655643
"LowerHinge",0.0735720443779147,0,0.917133106687225,0.00138345976268116,0,0.998322125186501
"Median.plot",0.0781639232799154,0,0.921836076720085,0.0015234737076616,0,0.998476526292338
"HigherHinge",0.0828668933127747,0,0.926427955622085,0.00167787481349857,0,0.998616540237319
"HigherWhisker",0.0954674330990018,0,0.940307979226296,0.00211371634435671,0,0.998984185537588
"Outlier1",0.0996925779534475,NA,0.900307422046552,0.00213910691917276,NA,0.997860893080827
"Outlier2",0.0523661041819516,NA,0.947633895818048,0.00212271338456112,NA,0.997877286615439
"Outlier3",0.0576003382038206,NA,0.942399661796179,0.00218380911179141,NA,0.997816190888209
"Outlier4",0.0596037630860411,NA,0.940396236913959,0.0021622283148974,NA,0.997837771685103
"Outlier5",0.0994109651110104,NA,0.90058903488899,NA,NA,NA
"Outlier6",0.100962528309656,NA,0.899037471690344,NA,NA,NA
