"","index","treat.type","treatment.id","Neutral.uw","Below.uw","Above.uw","Neutral.wt","Below.wt","Above.wt"
"1","obs","NA","All",0.651414583627548,0.0760250435437556,0.272560372828696,0.272181813278812,0.595013724331741,0.132804462389447
"2","mean","NA","All",0.595343215049048,0.0842176022825461,0.320439182668406,0.264113314377036,0.597132847902515,0.138753837720449
"3","stdev","NA","All",0.0186698716095404,0.00546136294384166,0.0166808981567619,0.0143980686964831,0.0137645701975959,0.00421845346088532
"4","min","NA","All",0.521697849762636,0.0698583038132944,0.274979096989967,0.226396015962817,0.546318796727307,0.127962487613815
"5","q25","NA","All",0.583629209767963,0.0806609991571327,0.308591336064113,0.253373806649418,0.587031010020015,0.135467951905638
"6","median","NA","All",0.596197348975827,0.0837770343785065,0.320120847150054,0.264292514037936,0.597131899394934,0.138400070587953
"7","q75","NA","All",0.608841509879217,0.0872912668068333,0.331319731641479,0.275051695472759,0.607808835335961,0.141385198922665
"8","max","NA","All",0.643762677484787,0.113037527090225,0.373582798101089,0.310757961925151,0.631539872459933,0.153329786975016
"9","LowerWhisker","NA","All",0.54595452141724,0.0719937123395337,0.274979096989967,0.226396015962817,0.556686273767575,0.127962487613815
"10","LowerHinge","NA","All",0.583613984060192,0.0806580186791361,0.308536738602522,0.253371420770605,0.587028572793625,0.135461964043364
"11","Median.plot","NA","All",0.596197348975827,0.0837770343785065,0.320120847150054,0.264292514037936,0.597131899394934,0.138400070587953
"12","HigherHinge","NA","All",0.608856841433607,0.0872926176472801,0.331323044917168,0.275056525153131,0.607816474913247,0.141387751839518
"13","HigherWhisker","NA","All",0.643762677484787,0.0971362024244349,0.364791779340184,0.300045012944307,0.631539872459933,0.150209658656978
"14","Outlier1","NA","All",0.521697849762636,0.0698583038132944,0.365924180766759,0.310757961925151,0.546318796727307,0.151363023542703
"15","Outlier2","NA","All",0.542582859594551,0.0979659609796596,0.373582798101089,NA,NA,0.150998155234207
"16","Outlier3","NA","All",0.536846638316197,0.102694789350973,0.367688166476861,NA,NA,0.151356037651071
"17","Outlier4","NA","All",0.53606259922885,0.0986762301566373,0.369153039604498,NA,NA,0.153329786975016
"18","Outlier5","NA","All",0.544627749576988,0.0984187568157034,0.369919793292781,NA,NA,0.153273125133652
"19","Outlier6","NA","All",0.535343439391415,0.104719352136275,0.369214380825566,NA,NA,NA
"20","Outlier7","NA","All",0.544996400287977,0.103544671810354,0.372702537620079,NA,NA,NA
"21","Outlier8","NA","All",NA,0.070690734557596,NA,NA,NA,NA
"22","Outlier9","NA","All",NA,0.100264410364886,NA,NA,NA,NA
"23","Outlier10","NA","All",NA,0.0995924058779363,NA,NA,NA,NA
"24","Outlier11","NA","All",NA,0.113037527090225,NA,NA,NA,NA
"25","Outlier12","NA","All",NA,0.105763612217795,NA,NA,NA,NA
"26","Outlier13","NA","All",NA,0.105352687684282,NA,NA,NA,NA
"27","Outlier14","NA","All",NA,0.0986146362098139,NA,NA,NA,NA
"28","Outlier15","NA","All",NA,0.101251604621309,NA,NA,NA,NA
"29","Outlier16","NA","All",NA,0.0991074653046484,NA,NA,NA,NA
"30","Outlier17","NA","All",NA,0.097348464475878,NA,NA,NA,NA
