"","Neutral.uw","Below.uw","Above.uw","Neutral.wt","Below.wt","Above.wt"
"obs",0.651414583627548,0.0760250435437556,0.272560372828696,0.272181813278812,0.595013724331741,0.132804462389447
"mean",0.599579409393934,0.0800250759500692,0.320395514655997,0.252938859920293,0.607164197594422,0.139896942485285
"stdev",0.0134384746909776,0.00461916304005706,0.0141719022257965,0.019310237464386,0.0215964474038053,0.00702082751631357
"min",0.552686403508772,0.0668574933551421,0.276730206031958,0.195256096275431,0.524598382498229,0.113195297363245
"q25",0.591702243036189,0.0768249116886705,0.310900043519334,0.239282947589314,0.593480309118202,0.13529682391425
"median",0.600581571213671,0.0799432840272011,0.319615514181359,0.25298286644456,0.607755207605543,0.14002332196653
"q75",0.608995373724572,0.0828722046908305,0.329045139095369,0.266380943975799,0.621819991844666,0.144284749444122
"max",0.639623901762318,0.102654301247202,0.366673982223198,0.321401867555091,0.681440650334753,0.161841699904963
"LowerWhisker",0.56573490601605,0.0678538054199979,0.28425855513308,0.202231031290169,0.551925696574188,0.122441141452548
"LowerHinge",0.591669651269445,0.0768244265519442,0.310884575522302,0.239268953592228,0.593476631863494,0.135289469404832
"Median.plot",0.600581571213671,0.0799432840272011,0.319615514181359,0.25298286644456,0.607755207605543,0.14002332196653
"HigherHinge",0.609002796888043,0.0828732320722014,0.329050338803359,0.266395857286562,0.62183541588525,0.144289141720579
"HigherWhisker",0.633231813869889,0.0914862445059417,0.356191816410478,0.306680999788354,0.662155083722918,0.157774656197114
"Outlier1",0.562715062715063,0.0959246648223026,0.36025086025086,0.321401867555091,0.549712806407249,0.158400198081454
"Outlier2",0.559975922075079,0.0919724403140522,0.365437233227536,0.312639786751914,0.547533011532688,0.113195297363245
"Outlier3",0.561173169569591,0.0922733077905492,0.281389657373909,0.308568657205499,0.524598382498229,0.115630048564277
"Outlier4",0.562052571178753,0.0928017488159059,0.364756352436476,0.196776845389417,0.549356521284359,0.117461321409222
"Outlier5",0.560059399406006,0.0668574933551421,0.360745614035088,0.307534940048491,0.54994896787632,0.160240051187386
"Outlier6",0.552686403508772,0.102654301247202,0.276730206031958,0.314493123125111,0.550225170563331,0.158454539734371
"Outlier7",0.639623901762318,0.0923251663151063,0.363035430988895,0.31035212573923,0.665429066165253,0.12178250427583
"Outlier8",0.562478485370052,0.0939995683142672,0.359512488386074,0.195256096275431,0.681440650334753,0.158400198081454
"Outlier9",0.565261635691714,0.0923843869325414,0.357977528089888,0.31455318495202,0.550422925149889,0.161841699904963
"Outlier10",0.556689582231623,0.0938689217758985,0.365391815993581,NA,0.544936461124472,NA
"Outlier11",0.563025669033315,0.0935886066044134,0.366673982223198,NA,0.547278872373929,NA
"Outlier12",0.560529048477893,NA,0.356753182344189,NA,0.541226519707225,NA
"Outlier13",0.565393258426966,NA,0.36208841381533,NA,0.672874689782707,NA
"Outlier14",0.562235891949719,NA,NA,NA,0.546449447145184,NA
"Outlier15",0.556951607593548,NA,NA,NA,NA,NA
"Outlier16",0.562131481787623,NA,NA,NA,NA,NA
"Outlier17",0.564000644572165,NA,NA,NA,NA,NA
