"","Neutral.uw","Below.uw","Above.uw","Neutral.wt","Below.wt","Above.wt"
"obs",0.0507954731835329,0,0.949204526816467,0.000940439261331001,0,0.999059560738669
"mean",0.0499983851125839,0,0.950001614887416,0.000869660663285061,0,0.999130339336715
"stdev",0.011302727045258,0,0.011302727045258,0.000165044745749144,0,0.000165044745749145
"min",0.0204470117168269,0,0.901992585727525,0.000462238856553183,0,0.99849193988779
"q25",0.0416531362773572,0,0.942907735816747,0.000751577950988858,0,0.999020685639453
"median",0.0493767833700452,0,0.950623216629955,0.000856411158836197,0,0.999143588841164
"q75",0.0570922641832533,0,0.958346863722643,0.000979314360547437,0,0.999248422049011
"max",0.0980074142724745,0,0.979552988283173,0.00150806011220993,0,0.999537761143447
"LowerWhisker",0.0204470117168269,0,0.919959122451334,0.000462238856553183,0,0.998709790119842
"LowerHinge",0.0416512497874664,0,0.942893547343273,0.00075139156040465,0,0.999020565490977
"Median.plot",0.0493767833700452,0,0.950623216629955,0.000856411158836197,0,0.999143588841164
"HigherHinge",0.0571064526567274,0,0.958348750212534,0.000979434509023573,0,0.999248608439595
"HigherWhisker",0.0800408775486657,0,0.979552988283173,0.00129020988015788,0,0.999537761143447
"Outlier1",0.0812957086861351,NA,0.918704291313865,0.00150806011220993,NA,0.99849193988779
"Outlier2",0.0980074142724745,NA,0.901992585727525,0.00149462152382016,NA,0.99850537847618
"Outlier3",0.0818527813325799,NA,0.91814721866742,0.00133556228890783,NA,0.998664437711092
"Outlier4",0.086471201071588,NA,0.913528798928412,0.00142432623115907,NA,0.998575673768841
"Outlier5",0.0878965649045253,NA,0.912103435095475,0.00139359251746696,NA,0.998606407482533
"Outlier6",0.0829139905978945,NA,0.917086009402105,0.00132374918736028,NA,0.99867625081264
"Outlier7",0.0826414718384697,NA,0.91735852816153,NA,NA,NA
"Outlier8",0.081849052834837,NA,0.918150947165163,NA,NA,NA
"Outlier9",0.0833710236695311,NA,0.916628976330469,NA,NA,NA
