"","index","treat.type","treatment.id","Neutral.uw","Below.uw","Above.uw","Neutral.wt","Below.wt","Above.wt"
"1","obs","NA","All",0.913423119652289,0.0150661703081451,0.0715107100395657,0.588788623299886,0.290227877332651,0.120983499367463
"2","mean","NA","All",0.833920223169074,0.0197714303887964,0.14630834644213,0.550376438970262,0.29955787917796,0.150065681851778
"3","stdev","NA","All",0.0164549563897272,0.00157866518938495,0.0157207728699574,0.0217707022577068,0.0224458195911945,0.00861219141090777
"4","min","NA","All",0.767789453481119,0.0165804249697237,0.105481764470703,0.444408348264872,0.247614498504677,0.12732847570706
"5","q25","NA","All",0.824432986764057,0.0186661834500751,0.135690548106194,0.541086450291008,0.284671954086655,0.144122786251693
"6","median","NA","All",0.83528508763527,0.0194635488717292,0.144962557841122,0.553878066540885,0.296041404359415,0.149908802717074
"7","q75","NA","All",0.845310056186297,0.0206863408231856,0.155223233995029,0.56459677018647,0.310375907319738,0.155661629953222
"8","max","NA","All",0.876815778952512,0.0285965352749184,0.211698095101003,0.59999955463216,0.412504359067193,0.183043096653007
"9","LowerWhisker","NA","All",0.79361270532357,0.0165804249697237,0.107170174173387,0.507840032118481,0.247614498504677,0.12732847570706
"10","LowerHinge","NA","All",0.824417988096746,0.0186659975870369,0.135687083507968,0.541062667516302,0.284664075405374,0.144121232192403
"11","Median.plot","NA","All",0.83528508763527,0.0194635488717292,0.144962557841122,0.553878066540885,0.296041404359415,0.149908802717074
"12","HigherHinge","NA","All",0.845310417579057,0.0206871164702355,0.155224624986644,0.564601955472226,0.310376575342815,0.155664131506275
"13","HigherWhisker","NA","All",0.875478048034266,0.0236992201140729,0.184288467867049,0.594193048921833,0.34753235757293,0.172941580011151
"14","Outlier1","NA","All",0.792668842580969,0.0279295993581708,0.190087948657,0.450687973357803,0.403547360900853,0.181192504941058
"15","Outlier2","NA","All",0.790159258378892,0.0285965352749184,0.186623743205729,0.453478745916082,0.389470795002789,0.183043096653007
"16","Outlier3","NA","All",0.792311101779924,0.0246123203869683,0.185374851345776,0.454056832843524,0.381433230592789,0.174113497018394
"17","Outlier4","NA","All",0.791884086110235,0.0248365052538761,0.200537389343377,0.471584527756979,0.389226120440689,0.174034500083738
"18","Outlier5","NA","All",0.777223328455246,0.0242417005015524,0.189000774593338,0.468648484760984,0.391829803680287,0.177442942560764
"19","Outlier6","NA","All",0.790206235476375,0.025211975688452,0.209506229810798,0.449900595314336,0.393961095734787,0.176024399179122
"20","Outlier7","NA","All",0.769776309717533,0.0248558990198701,0.191551142750094,0.493823884679948,0.356433906795392,0.173950601949917
"21","Outlier8","NA","All",0.788099475458973,0.0265142120144848,0.191701143830616,0.496586990999498,0.357882442283651,NA
"22","Outlier9","NA","All",0.786809442686785,0.0238424893811748,0.211698095101003,0.49713999586987,0.386365022730877,NA
"23","Outlier10","NA","All",0.767789453481119,0.0240247440477618,0.193121628548415,0.458764447333018,0.383535755260684,NA
"24","Outlier11","NA","All",0.785642803095023,0.0251405888190539,0.184800674455016,0.448445682799098,0.381311356172373,NA
"25","Outlier12","NA","All",0.792749608575214,0.0250353369588654,0.189366613764248,0.59999955463216,0.353116913172456,NA
"26","Outlier13","NA","All",0.786755157985861,0.0241688106075599,0.190795961493308,0.474121471638951,0.38079815921953,NA
"27","Outlier14","NA","All",0.789457619159427,0.0239057000448822,0.105481764470703,0.496226839215183,0.379254991840047,NA
"28","Outlier15","NA","All",0.876815778952512,0.0242898411169957,0.19915530348739,0.471451720522353,0.411352159057801,NA
"29","Outlier16","NA","All",0.780909858815012,0.0245830730042774,NA,0.453034566095619,0.383723233982685,NA
"30","Outlier17","NA","All",NA,0.0254757752672682,NA,0.451140888343472,0.390067596608448,NA
"31","Outlier18","NA","All",NA,0.0238782282498918,NA,0.467845161692456,0.3726530507695,NA
"32","Outlier19","NA","All",NA,0.0241466061562747,NA,0.444408348264872,0.397685827082951,NA
"33","Outlier20","NA","All",NA,0.0240133434717555,NA,0.479806129937934,0.389161954207224,NA
"34","Outlier21","NA","All",NA,0.0240366972477064,NA,0.468322670096721,0.351833805418172,NA
"35","Outlier22","NA","All",NA,NA,NA,0.458009959201265,0.38062075803657,NA
"36","Outlier23","NA","All",NA,NA,NA,0.469226394958441,0.371984886173297,NA
"37","Outlier24","NA","All",NA,NA,NA,0.468125740805663,0.351599549697287,NA
"38","Outlier25","NA","All",NA,NA,NA,0.502979488179554,0.370212369989709,NA
"39","Outlier26","NA","All",NA,NA,NA,0.484738849495468,0.383360029482317,NA
"40","Outlier27","NA","All",NA,NA,NA,0.469614676332782,0.412504359067193,NA
"41","Outlier28","NA","All",NA,NA,NA,0.449111638764935,0.350186473272164,NA
"42","Outlier29","NA","All",NA,NA,NA,0.500551587605777,0.398433551739119,NA
"43","Outlier30","NA","All",NA,NA,NA,0.504263514884942,0.372080490485409,NA
"44","Outlier31","NA","All",NA,NA,NA,0.455615452135441,NA,NA
"45","Outlier32","NA","All",NA,NA,NA,0.461393241878706,NA,NA
