"","Neutral.uw","Below.uw","Above.uw","Neutral.wt","Below.wt","Above.wt"
"obs",0.913423119652289,0.0150661703081451,0.0715107100395657,0.588788623299886,0.290227877332651,0.120983499367463
"mean",0.874573699567644,0.0181621557719769,0.107264144660379,0.563037950033404,0.296033853030547,0.14092819693605
"stdev",0.00817973242274654,0.000955916439561814,0.00774397188128579,0.0251711768836516,0.0244911429699713,0.0061295541379865
"min",0.845094664371773,0.0155935056592908,0.0898429735639038,0.433080646554505,0.236779867282037,0.123598933270353
"q25",0.869269282718445,0.0174858014077027,0.101782519880597,0.549527319366129,0.279527231893423,0.136729406464889
"median",0.875366324860481,0.0181188428174134,0.106653845597516,0.566426226066648,0.291876191132236,0.140820122221238
"q75",0.880094385566014,0.0187794175926101,0.112342538962493,0.580053926923115,0.309287906570403,0.144695163087393
"max",0.893372203449723,0.0217774139940968,0.13618760757315,0.619409537367793,0.422998323804275,0.166246250974501
"LowerWhisker",0.85312905239902,0.0155935056592908,0.0898429735639038,0.503774993958916,0.236779867282037,0.1264527302965
"LowerHinge",0.869253715823333,0.0174846285986296,0.101776901391116,0.549519392152167,0.279496069741988,0.136729133112683
"Median.plot",0.875366324860481,0.0181188428174134,0.106653845597516,0.566426226066648,0.291876191132236,0.140820122221238
"HigherHinge",0.880106193266487,0.0187803361174064,0.112345923513221,0.580055567036348,0.309352144338712,0.144702816949149
"HigherWhisker",0.893372203449723,0.0206170563694577,0.127228427375582,0.619409537367793,0.351282732559856,0.156622066520806
"Outlier1",0.847686086565823,0.020805554856726,0.133193549997504,0.463301372993458,0.394447232636941,0.165323413928498
"Outlier2",0.8502982396586,0.0216484276279713,0.129746375054556,0.477167983677593,0.3785140792787,0.157249683184794
"Outlier3",0.845094664371773,0.0210998192785223,0.13618760757315,0.441305267715683,0.417215284543245,0.157340436117043
"Outlier4",0.847895544542001,0.0217774139940968,0.131298900601273,0.433080646554505,0.41990507024605,0.158078487072081
"Outlier5",0.852183913441453,0.0209167236161281,0.134432362913598,0.46630168680179,0.397059386313364,0.166246250974501
"Outlier6",0.847351806383725,0.0207579105740749,0.13278753011752,0.461266539175198,0.39508468998033,0.158304822698292
"Outlier7",0.848355214633427,0.0214584033411742,0.132427881917162,0.437332913464346,0.422998323804275,0.161669241644443
"Outlier8",0.849410708272533,NA,0.132713984887898,0.447503802329179,0.395874131150015,0.157905728478161
"Outlier9",0.852766822928293,NA,0.128937763001883,0.459407744177325,0.406339146988041,0.160047716361004
"Outlier10",0.847516412733804,NA,0.130205714012022,0.479122998651827,0.377955347370516,0.123598933270353
"Outlier11",0.851835491595564,NA,0.12981486463352,0.444714516423547,0.355166520696589,NA
"Outlier12",0.849893431041502,NA,0.129166873664862,0.497332629178052,0.415652803336209,NA
"Outlier13",0.851255838978698,NA,0.129046201133417,0.439771215138026,0.365084832123476,NA
"Outlier14",0.852119437376986,NA,0.132304299889746,0.476603784725297,0.407561578051349,NA
"Outlier15",0.850712901783496,NA,NA,0.471533648016392,0.384433794642515,NA
"Outlier16",0.85121506099318,NA,NA,0.469692347559676,0.398753076579074,NA
"Outlier17",0.848364571848585,NA,NA,NA,0.377440351815223,NA
