"","index","treat.type","treatment.id","Neutral.uw","Below.uw","Above.uw","Neutral.wt","Below.wt","Above.wt"
"1","obs","NA","All",0.0769174050360685,0,0.923082594963932,0.00087623786023898,0,0.999123762139761
"2","mean","NA","All",0.0705303548955504,0,0.92946964510445,0.0010147709845922,0,0.998985229015408
"3","stdev","NA","All",0.00611131741128509,0,0.00611131741128509,0.000154648272017176,0,0.000154648272017174
"4","min","NA","All",0.0535950295828753,0,0.910700280112045,0.000702502237825658,0,0.998314919386284
"5","q25","NA","All",0.0663488052891511,0,0.925099476485866,0.00090018859012149,0,0.998905899660875
"6","median","NA","All",0.0706434728873805,0,0.92935652711262,0.000986384828564922,0,0.999013615171435
"7","q75","NA","All",0.0749005235141344,0,0.933651194710849,0.00109410033912455,0,0.999099811409878
"8","max","NA","All",0.0892997198879552,0,0.946404970417125,0.00168508061371592,0,0.999297497762174
"9","LowerWhisker","NA","All",0.0535950295828753,0,0.912407850169356,0.000702502237825658,0,0.998618147369257
"10","LowerHinge","NA","All",0.0663440221564147,0,0.925091441415014,0.00090017996400884,0,0.998905871478507
"11","Median.plot","NA","All",0.0706434728873805,0,0.92935652711262,0.000986384828564922,0,0.999013615171435
"12","HigherHinge","NA","All",0.0749085585849865,0,0.933655977843585,0.00109412852149287,0,0.999099820035991
"13","HigherWhisker","NA","All",0.0875921498306435,0,0.946404970417125,0.00138185263074322,0,0.999297497762174
"14","Outlier1","NA","All",0.0879051285235316,NA,0.912094871476468,0.00144140127950713,NA,0.998558598720493
"15","Outlier2","NA","All",0.0892997198879552,NA,0.910700280112045,0.00168508061371592,NA,0.998314919386284
"16","Outlier3","NA","All",0.088233470177484,NA,0.911766529822516,0.00139300229462313,NA,0.998606997705377
"17","Outlier4","NA","All",NA,NA,NA,0.00142095792844931,NA,0.998579042071551
"18","Outlier5","NA","All",NA,NA,NA,0.00144866732649496,NA,0.998551332673505
"19","Outlier6","NA","All",NA,NA,NA,0.0015057585642662,NA,0.998494241435734
"20","Outlier7","NA","All",NA,NA,NA,0.00144686161480214,NA,0.998553138385198
"21","Outlier8","NA","All",NA,NA,NA,0.00141096691709576,NA,0.998589033082904
"22","Outlier9","NA","All",NA,NA,NA,0.00143885440012975,NA,0.99856114559987
"23","Outlier10","NA","All",NA,NA,NA,0.00161435411354807,NA,0.998385645886452
"24","Outlier11","NA","All",NA,NA,NA,0.00140210450620336,NA,0.998597895493797
"25","Outlier12","NA","All",NA,NA,NA,0.00143062103419223,NA,0.998569378965808
"26","Outlier13","NA","All",NA,NA,NA,0.00142608883273469,NA,0.998573911167265
"27","Outlier14","NA","All",NA,NA,NA,0.00150363658386341,NA,0.998496363416137
"28","Outlier15","NA","All",NA,NA,NA,0.00141660258260556,NA,0.998583397417394
"29","Outlier16","NA","All",NA,NA,NA,0.00142105976182383,NA,0.998578940238176
"30","Outlier17","NA","All",NA,NA,NA,0.00139400054139678,NA,0.998605999458603
"31","Outlier18","NA","All",NA,NA,NA,0.00161195825513622,NA,0.998388041744864
"32","Outlier19","NA","All",NA,NA,NA,0.00142123454138538,NA,0.998578765458615
"33","Outlier20","NA","All",NA,NA,NA,0.00140288465613173,NA,0.998597115343868
"34","Outlier21","NA","All",NA,NA,NA,0.00149027336197737,NA,0.998509726638023
"35","Outlier22","NA","All",NA,NA,NA,0.00148661919864415,NA,0.998513380801356
"36","Outlier23","NA","All",NA,NA,NA,0.00144549848363968,NA,0.99855450151636
"37","Outlier24","NA","All",NA,NA,NA,0.00148058521618229,NA,0.998519414783818
"38","Outlier25","NA","All",NA,NA,NA,0.0013855423092618,NA,0.998614457690738
"39","Outlier26","NA","All",NA,NA,NA,0.00143674907564911,NA,0.998563250924351
"40","Outlier27","NA","All",NA,NA,NA,0.00138851415966543,NA,0.998611485840335
"41","Outlier28","NA","All",NA,NA,NA,0.00138612519130892,NA,0.998613874808691
