"","Neutral.uw","Below.uw","Above.uw","Neutral.wt","Below.wt","Above.wt"
"obs",0.076573310557556,0,0.923426689442444,0.000819356584560466,0,0.99918064341544
"mean",0.0701312599909693,0,0.929868740009031,0.000678902824219645,0,0.99932109717578
"stdev",0.00585153944100128,0,0.00585153944100128,5.63221922487895e-05,0,5.63221922487885e-05
"min",0.0540096379587298,0,0.911913948612335,0.000548580475525413,0,0.999131933605004
"q25",0.0662712144008066,0,0.925868225072718,0.00064080823365206,0,0.99928938296435
"median",0.0702149577825385,0,0.929785042217461,0.000674448413866315,0,0.999325551586134
"q75",0.074131774927282,0,0.933728785599193,0.000710617035650345,0,0.999359191766348
"max",0.0880860513876655,0,0.94599036204127,0.000868066394996171,0,0.999451419524475
"LowerWhisker",0.0547067643086378,0,0.915297594655342,0.000548580475525413,0,0.999185657879729
"LowerHinge",0.0662672505789872,0,0.925862080909313,0.000640791441533053,0,0.999289375446702
"Median.plot",0.0702149577825385,0,0.929785042217461,0.000674448413866315,0,0.999325551586134
"HigherHinge",0.0741379190906871,0,0.933732749421013,0.00071062455329802,0,0.999359208558467
"HigherWhisker",0.0847024053446584,0,0.945293235691362,0.000814342120271193,0,0.999451419524475
"Outlier1",0.0540096379587298,NA,0.94599036204127,0.000821871706622103,NA,0.999178128293378
"Outlier2",0.0871532901017966,NA,0.912846709898203,0.00082859256286583,NA,0.999171407437134
"Outlier3",0.0880860513876655,NA,0.911913948612335,0.000819376432412193,NA,0.999180623567588
"Outlier4",0.0860936216808103,NA,0.91390637831919,0.000823343060726804,NA,0.999176656939273
"Outlier5",NA,NA,NA,0.000849638432861007,NA,0.999150361567139
"Outlier6",NA,NA,NA,0.000858611285422135,NA,0.999141388714578
"Outlier7",NA,NA,NA,0.000828672687933917,NA,0.999171327312066
"Outlier8",NA,NA,NA,0.000824190815280805,NA,0.999175809184719
"Outlier9",NA,NA,NA,0.0008495346510403,NA,0.99915046534896
"Outlier10",NA,NA,NA,0.000839871527697687,NA,0.999160128472302
"Outlier11",NA,NA,NA,0.000836880778876827,NA,0.999163119221123
"Outlier12",NA,NA,NA,0.000850558394825935,NA,0.999149441605174
"Outlier13",NA,NA,NA,0.000856712458170306,NA,0.99914328754183
"Outlier14",NA,NA,NA,0.000868066394996171,NA,0.999131933605004
"Outlier15",NA,NA,NA,0.000856812003958362,NA,0.999143187996042
"Outlier16",NA,NA,NA,0.000850146939580053,NA,0.99914985306042
"Outlier17",NA,NA,NA,0.000823797935647754,NA,0.999176202064352
"Outlier18",NA,NA,NA,0.000861742638844115,NA,0.999138257361156
"Outlier19",NA,NA,NA,0.000829681491181294,NA,0.999170318508819
"Outlier20",NA,NA,NA,0.000819515069294893,NA,0.999180484930705
