Index,group1,group2,group1.obs,group2.obs,w.value.W,p.wtest,p.count,w.value.noOut.W,p.wtest.noOut,p.count.noOut
1,ST,1,2,0.859718068664651,0.860323359768876,5137,0.465470485849261,0.503578080580335,5137,0.465470485849261,0.503578080580335
2,ST,1,3,0.859718068664651,0.818490636419451,9444,6.97288062669239e-26,0.0742084109401039,9343,1.11222955477257e-25,0.0749504950495049
3,ST,1,4,0.859718068664651,0.734305303386409,10201,6.02077725132243e-35,0,10201,6.02077725132243e-35,0
4,ST,1,5,0.859718068664651,0.868894410911812,4242,0.0194416074273945,0.415841584158416,3940,0.00651394110667018,0.398060214184684
5,ST,1,6,0.859718068664651,0.808456729773219,9882,5.93807410675186e-31,0.0312714439760808,9680,1.38754658577118e-30,0.0319031903190319
6,ST,2,3,0.860323359768876,0.818490636419451,9579,2.14720253825995e-27,0.0609744142731105,9478,3.38410113689445e-27,0.0615841584158416
7,ST,2,4,0.860323359768876,0.734305303386409,10201,6.02077725132243e-35,0,10201,6.02077725132243e-35,0
8,ST,2,5,0.860323359768876,0.868894410911812,4020,0.00466349479926947,0.394079011861582,3717,0.0012144960122049,0.375530410183876
9,ST,2,6,0.860323359768876,0.808456729773219,9949,9.03403180431681e-32,0.0247034604450544,9747,2.07617159853943e-31,0.0252025202520252
10,ST,3,4,0.818490636419451,0.734305303386409,10171,1.46588572346939e-34,0.00294088814822076,10086,1.33641529572916e-34,0.00138613861386139
11,ST,3,5,0.818490636419451,0.868894410911812,505,9.66220686016276e-29,0.0495049504950495,302,1.9873367595295e-30,0.0308163265306122
12,ST,3,6,0.818490636419451,0.808456729773219,6401,0.000875743141176151,0.37251249877463,6199,0.00105748335341101,0.373838383838384
13,ST,4,5,0.734305303386409,0.868894410911812,0,6.02077725132243e-35,0,0,1.9007272542834e-34,0
14,ST,4,6,0.734305303386409,0.808456729773219,143,3.99501560402501e-33,0.014018233506519,71,1.07345484033796e-33,0.0071007100710071
15,ST,5,6,0.868894410911812,0.808456729773219,9942,1.101144693571e-31,0.0253896676796393,9604,7.68481086053571e-33,0.0101010101010101
16,NST,1,2,0.76390673548531,0.758544581830404,5731,0.0646879426426718,0.438192334084894,5731,0.0646879426426718,0.438192334084894
17,NST,1,3,0.76390673548531,0.703387003688397,8838,1.17158690894165e-19,0.133614351534163,8737,1.93465733307591e-19,0.134950495049505
18,NST,1,4,0.76390673548531,0.574017499633996,10201,6.02077725132243e-35,0,10201,6.02077725132243e-35,0
19,NST,1,5,0.76390673548531,0.789971715093537,4138,0.0102852870319008,0.405646505244584,3839,0.00315065254297661,0.387856132552031
20,NST,1,6,0.76390673548531,0.713595764350847,8443,4.31120974283441e-16,0.172336045485737,8241,1.19311128372346e-15,0.175817581758176
21,NST,2,3,0.758544581830404,0.703387003688397,8714,1.69794934606757e-18,0.145770022546809,8613,2.81291213422717e-18,0.147227722772277
22,NST,2,4,0.758544581830404,0.574017499633996,10201,6.02077725132243e-35,0,10201,6.02077725132243e-35,0
23,NST,2,5,0.758544581830404,0.789971715093537,3261,4.77911791089451e-06,0.319674541711597,2964,5.14539474527061e-07,0.299454435239442
24,NST,2,6,0.758544581830404,0.713595764350847,8278,1.02196521662197e-14,0.188510930300951,8076,2.81870045428199e-14,0.192319231923192
25,NST,3,4,0.703387003688397,0.574017499633996,10000,2.11780164006719e-32,0.0197039505930791,9960,5.46054199575365e-33,0.0138613861386139
26,NST,3,5,0.703387003688397,0.789971715093537,853,7.77357270615516e-25,0.0836192530144104,619,1.22794200220145e-26,0.0631632653061224
27,NST,3,6,0.703387003688397,0.713595764350847,4119,0.00910028063868051,0.403783942750711,3920,0.00563113885528258,0.395959595959596
28,NST,4,5,0.574017499633996,0.789971715093537,2,6.38977764416752e-35,0.000196059209881384,0,1.9007272542834e-34,0
29,NST,4,6,0.574017499633996,0.713595764350847,91,8.80921211456993e-34,0.00892069404960298,31,3.26663412595199e-34,0.0031003100310031
30,NST,5,6,0.789971715093537,0.713595764350847,9132,1.45485720971968e-22,0.1047936476816,8897,2.46566553101142e-24,0.082972582972583
31,MST,1,2,0.720618195267706,0.714507108686326,5648,0.0939585605824901,0.446328791294971,5253,0.190950218088722,0.463979591836735
32,MST,1,3,0.720618195267706,0.647855833586736,9295,2.87686415600544e-24,0.088814822076267,9094,7.46655397402177e-24,0.0906
33,MST,1,4,0.720618195267706,0.532837501587927,10201,6.02077725132243e-35,0,10100,8.79876627251807e-35,0
34,MST,1,5,0.720618195267706,0.732959290491265,4668,0.149185727667873,0.457602195863151,4271,0.0594938511779919,0.435816326530612
35,MST,1,6,0.720618195267706,0.658757621989226,9013,2.31720736707409e-21,0.116459170669542,8712,1.02050750588386e-20,0.12
36,MST,2,3,0.714507108686326,0.647855833586736,9266,5.84669685550099e-24,0.0916576806195471,9061,2.84923220195361e-25,0.0754081632653061
37,MST,2,4,0.714507108686326,0.532837501587927,10201,6.02077725132243e-35,0,9898,1.9007272542834e-34,0
38,MST,2,5,0.714507108686326,0.732959290491265,3903,0.00197907130292387,0.382609548083521,3601,0.00124981590711434,0.374947938359017
39,MST,2,6,0.714507108686326,0.658757621989226,8988,4.10235719638308e-21,0.11890991079306,8730,1.60291218423619e-22,0.100185528756957
40,MST,3,4,0.647855833586736,0.532837501587927,9972,4.70511607689187e-32,0.0224487795314185,9931,1.26586249396757e-32,0.0167326732673267
41,MST,3,5,0.647855833586736,0.732959290491265,724,3.00693842139025e-26,0.0709734339770611,497,4.58936560279209e-28,0.0507142857142857
42,MST,3,6,0.647855833586736,0.658757621989226,4082,0.00713129943493476,0.400156847367905,3884,0.00435694462962251,0.392323232323232
43,MST,4,5,0.532837501587927,0.732959290491265,5,6.98580999705921e-35,0.00049014802470346,0,1.9007272542834e-34,0
44,MST,4,6,0.532837501587927,0.658757621989226,99,1.11272943529177e-33,0.00970493088912852,42,4.53522956332956e-34,0.0042004200420042
45,MST,5,6,0.732959290491265,0.658757621989226,9271,5.17557051964968e-24,0.0911675325948436,9034,7.05787657400523e-26,0.0688517831374974
