Index,Group,obs,mean,stdev,Min,Quantile25,Median,Quantile75,Max,LowerWhisker,LowerHinge,Median.1,HigherHinge,HigherWhisker,Outlier1,Outlier2,Outlier3
1,ST,AND,0.859718068664651,0.861315877509607,0.0217258459854085,0.814539603739371,0.845681866815183,0.859105725788161,0.875046413984098,0.914201427673237,0.814539603739371,0.845681866815183,0.859105725788161,0.875046413984098,0.914201427673237,NA,NA,NA
2,ST,BCI,0.860323359768876,0.859788618134125,0.0163000394132458,0.818908152526903,0.84919179039176,0.861277271733586,0.872500888223516,0.888736379510023,0.818908152526903,0.84919179039176,0.861277271733586,0.872500888223516,0.888736379510023,NA,NA,NA
3,ST,CBF,0.818490636419451,0.820055819594898,0.0196881613059495,0.763842113296117,0.807809612223886,0.819890218633463,0.834714100964252,0.866668248505658,0.774170162834465,0.807809612223886,0.819890218633463,0.834714100964252,0.866668248505658,0.763842113296117,NA,NA
4,ST,HFR,0.734305303386409,0.737746008539555,0.0264482882040892,0.683343084753383,0.716261012259271,0.742763525797177,0.757856660458705,0.786099747673251,0.683343084753383,0.716261012259271,0.742763525797177,0.757856660458705,0.786099747673251,NA,NA,NA
5,ST,LUQ,0.868894410911812,0.865707154555024,0.018899239103705,0.804219102233125,0.854235816464523,0.868480418312237,0.876557967996365,0.907693120896464,0.824399806912966,0.854235816464523,0.868480418312237,0.876557967996365,0.907693120896464,0.813601597691267,0.804219102233125,0.815461624601106
6,ST,NWT,0.808456729773219,0.810229663319977,0.0201935068166855,0.747652687139558,0.79901992653626,0.812863567589956,0.824159957715743,0.850939488031501,0.76753661162162,0.79901992653626,0.812863567589956,0.824159957715743,0.850939488031501,0.755060523213593,0.747652687139558,NA
7,NST,AND,0.76390673548531,0.76411087235338,0.0447544171232127,0.663673156792797,0.732584974431192,0.76390673548531,0.791510703430036,0.872981073991981,0.663673156792797,0.732584974431192,0.76390673548531,0.791510703430036,0.872981073991981,NA,NA,NA
8,NST,BCI,0.758544581830404,0.752404059903592,0.0337820014799329,0.665248885677401,0.729973026329178,0.755568001626914,0.776926566855962,0.814431993309076,0.665248885677401,0.729973026329178,0.755568001626914,0.776926566855962,0.814431993309076,NA,NA,NA
9,NST,CBF,0.703387003688397,0.69724980272842,0.0402881548459432,0.569253305132347,0.671070789849705,0.698043593422594,0.726534316338278,0.785146764191252,0.601473412754247,0.671070789849705,0.698043593422594,0.726534316338278,0.785146764191252,0.569253305132347,NA,NA
10,NST,HFR,0.574017499633996,0.576572394569594,0.0448517518301246,0.485707979225344,0.53768314236713,0.585959858388661,0.607245328060299,0.658952953944365,0.485707979225344,0.53768314236713,0.585959858388661,0.607245328060299,0.658952953944365,NA,NA,NA
11,NST,LUQ,0.789971715093537,0.77527533041284,0.0399759412432221,0.647533467981077,0.751579001821678,0.779339640134456,0.800569370542687,0.859733527575473,0.687271807207452,0.751579001821678,0.779339640134456,0.800569370542687,0.859733527575473,0.676138647572223,0.647533467981077,0.675328387844593
12,NST,NWT,0.713595764350847,0.709820077102243,0.0354439108060101,0.59863927057738,0.691712273519524,0.713595764350847,0.732561413364597,0.784473439045155,0.637047238158165,0.691712273519524,0.713595764350847,0.732561413364597,0.784473439045155,0.610612246669784,0.59863927057738,NA
13,MST,AND,0.720618195267706,0.723734082571033,0.0415488668836117,0.627199643243932,0.696886511805544,0.720618195267706,0.749799309495166,0.832455966839008,0.627199643243932,0.696886511805544,0.720618195267706,0.749799309495166,0.806518125857698,0.832455966839008,NA,NA
14,MST,BCI,0.714507108686326,0.714014041754434,0.0309426300194086,0.628932895517753,0.697577719025779,0.717791134481565,0.736505708335277,0.779525182909543,0.645798478447594,0.697577719025779,0.717791134481565,0.736505708335277,0.779525182909543,0.628932895517753,0.636380717382519,0.638504813655304
15,MST,CBF,0.647855833586736,0.649545455142568,0.0376287939337412,0.532979549150974,0.625362350221422,0.649831437464026,0.67595382925732,0.739509580057114,0.558574832219821,0.625362350221422,0.649831437464026,0.67595382925732,0.739509580057114,0.532979549150974,NA,NA
16,MST,HFR,0.532837501587927,0.538388388303474,0.0433845127316028,0.447798251277553,0.501399819455445,0.547731305248747,0.571950897215108,0.619253338010291,0.447798251277553,0.501399819455445,0.547731305248747,0.571950897215108,0.619253338010291,NA,NA,NA
17,MST,LUQ,0.732959290491265,0.7266997600302,0.0370351623628396,0.602733584735315,0.707264419071329,0.730524070473784,0.750296467296277,0.803970193749481,0.647612014267694,0.707264419071329,0.730524070473784,0.750296467296277,0.803970193749481,0.633586233614313,0.602733584735315,0.628776042391504
18,MST,NWT,0.658757621989226,0.661804322575439,0.0330163490255608,0.564211937390058,0.645073455767099,0.666117904196703,0.684043093481012,0.729136278793477,0.587954506173264,0.645073455767099,0.666117904196703,0.684043093481012,0.729136278793477,0.570631679704144,0.564211937390058,NA
