"","index","treat.type","treatment.id","Neutral.uw","Below.uw","Above.uw","Neutral.wt","Below.wt","Above.wt"
"1","obs","NA","All",0.67181269808813,0.0571005009712708,0.271086800940599,0.212665106805783,0.57576950925827,0.211565383935947
"2","mean","NA","All",0.613612978134304,0.0652563935103934,0.321130628355302,0.205694961191781,0.568022297429469,0.226282741378749
"3","stdev","NA","All",0.0163287710781266,0.00248639556815789,0.0163830192626722,0.0152542678544778,0.0145876158162825,0.0107076208444631
"4","min","NA","All",0.564048672566372,0.059597984504524,0.273068519244776,0.160317997896651,0.527519795050669,0.208133665792835
"5","q25","NA","All",0.603073841813865,0.0634839204703407,0.309762409060016,0.197558414263912,0.558750466156065,0.21917711209797
"6","median","NA","All",0.614611128174189,0.064953261551247,0.320415565053937,0.20638574911677,0.567583188916816,0.22306546099719
"7","q75","NA","All",0.625111452619075,0.0667721305695829,0.331676938536716,0.215739989937286,0.57701680472493,0.229654263944341
"8","max","NA","All",0.659308644742002,0.0756514751463667,0.371294247787611,0.250253585068743,0.621744885187814,0.273295656506005
"9","LowerWhisker","NA","All",0.57046515649317,0.059597984504524,0.278070921985816,0.170285572903598,0.532073930994333,0.208133665792835
"10","LowerHinge","NA","All",0.603072132034238,0.0634828739126273,0.309757171385092,0.197527493240263,0.55874980639816,0.219176319151235
"11","Median.plot","NA","All",0.614611128174189,0.064953261551247,0.320415565053937,0.20638574911677,0.567583188916816,0.22306546099719
"12","HigherHinge","NA","All",0.625117550403065,0.066774074803762,0.331699852393256,0.215747624951616,0.5770248983334,0.229690051851965
"13","HigherWhisker","NA","All",0.655372861650889,0.071606053761012,0.363746356486828,0.242182001849652,0.604260746170716,0.245338296203397
"14","Outlier1","NA","All",0.659308644742002,0.0718998862343572,0.273068519244776,0.160317997896651,0.621744885187814,0.246025548992691
"15","Outlier2","NA","All",0.564048672566372,0.0728337502842847,0.371294247787611,0.167400545366777,0.608035605392668,0.246623663280339
"16","Outlier3","NA","All",0.569542979706319,0.0738389182833627,0.368263804359854,0.169474362418361,0.607259784086903,0.2497667846798
"17","Outlier4","NA","All",0.567444948544871,0.0730891453420304,0.369186208433131,0.162038058982783,0.612650482077883,0.245670444160053
"18","Outlier5","NA","All",0.565922130006127,0.0723286432728711,NA,0.167410158878809,0.605491065135965,0.246223874833346
"19","Outlier6","NA","All",NA,0.0741537745725253,NA,0.161246996531267,0.529667797567573,0.259667653950921
"20","Outlier7","NA","All",NA,0.0731843575418994,NA,0.168863081466355,0.605480063153508,0.258222568731416
"21","Outlier8","NA","All",NA,0.0756514751463667,NA,0.169274595861843,0.5288415318058,0.247128388955802
"22","Outlier9","NA","All",NA,0.0740085592011412,NA,0.16567820514928,0.618983145625639,0.248397870285814
"23","Outlier10","NA","All",NA,0.0722165358808143,NA,0.165676949450503,0.611454897363902,0.249825489111115
"24","Outlier11","NA","All",NA,0.075177304964539,NA,0.168159206066911,0.608992790532314,0.249093299007975
"25","Outlier12","NA","All",NA,0.0746422438465942,NA,0.163083287334272,0.53101854845616,0.25108639232404
"26","Outlier13","NA","All",NA,0.0747933416374137,NA,0.164215229938559,0.612804869523394,0.252653328918993
"27","Outlier14","NA","All",NA,0.0720512964733675,NA,0.250253585068743,0.606071048607362,0.255240399939606
"28","Outlier15","NA","All",NA,0.0721225282889473,NA,0.167090716918224,0.604955133843359,0.251996663837593
"29","Outlier16","NA","All",NA,0.0730033745781777,NA,0.243990360670978,0.611124986620045,0.245682251933426
"30","Outlier17","NA","All",NA,NA,NA,0.160895382156811,0.609374743302444,0.258602390364708
"31","Outlier18","NA","All",NA,NA,NA,NA,0.60724940375835,0.248819720301791
"32","Outlier19","NA","All",NA,NA,NA,NA,0.606207388136375,0.253182689750731
"33","Outlier20","NA","All",NA,NA,NA,NA,0.527519795050669,0.258522033632693
"34","Outlier21","NA","All",NA,NA,NA,NA,0.604695789434683,0.259018630218309
"35","Outlier22","NA","All",NA,NA,NA,NA,0.608232836108938,0.253488106929906
"36","Outlier23","NA","All",NA,NA,NA,NA,NA,0.273295656506005
"37","Outlier24","NA","All",NA,NA,NA,NA,NA,0.248552656027092
"38","Outlier25","NA","All",NA,NA,NA,NA,NA,0.24842723044137
"39","Outlier26","NA","All",NA,NA,NA,NA,NA,0.260287388723465
"40","Outlier27","NA","All",NA,NA,NA,NA,NA,0.247131720618052
"41","Outlier28","NA","All",NA,NA,NA,NA,NA,0.246808267899369
"42","Outlier29","NA","All",NA,NA,NA,NA,NA,0.250909869332096
"43","Outlier30","NA","All",NA,NA,NA,NA,NA,0.246401300563573
"44","Outlier31","NA","All",NA,NA,NA,NA,NA,0.251288313411899
"45","Outlier32","NA","All",NA,NA,NA,NA,NA,0.25009821210246
"46","Outlier33","NA","All",NA,NA,NA,NA,NA,0.247152641085289
"47","Outlier34","NA","All",NA,NA,NA,NA,NA,0.247624399678197
"48","Outlier35","NA","All",NA,NA,NA,NA,NA,0.252617769009727
"49","Outlier36","NA","All",NA,NA,NA,NA,NA,0.245909872680141
"50","Outlier37","NA","All",NA,NA,NA,NA,NA,0.252997878747173
"51","Outlier38","NA","All",NA,NA,NA,NA,NA,0.268233942466672
"52","Outlier39","NA","All",NA,NA,NA,NA,NA,0.249464227011072
"53","Outlier40","NA","All",NA,NA,NA,NA,NA,0.25936096371218
"54","Outlier41","NA","All",NA,NA,NA,NA,NA,0.247387590262851
"55","Outlier42","NA","All",NA,NA,NA,NA,NA,0.246773159230439
"56","Outlier43","NA","All",NA,NA,NA,NA,NA,0.254184181615126
"57","Outlier44","NA","All",NA,NA,NA,NA,NA,0.252050359825509
"58","Outlier45","NA","All",NA,NA,NA,NA,NA,0.249589188289225
"59","Outlier46","NA","All",NA,NA,NA,NA,NA,0.249500772534831
"60","Outlier47","NA","All",NA,NA,NA,NA,NA,0.246520827467529
"61","Outlier48","NA","All",NA,NA,NA,NA,NA,0.245680446458249
