Index,group1,group2,group1.obs,group2.obs,w.value.W,p.wtest,p.count,w.value.noOut.W,p.wtest.noOut,p.count.noOut
1,ST,1,2,0.859718068664651,0.860323359768876,4906,0.320247600381284,0.480933241839035,4805,0.276600435176135,0.475742574257426
2,ST,1,3,0.859718068664651,0.818490636419451,9398,2.22878472391133e-25,0.0787177727673758,9248,1.78199247952043e-26,0.0656698322893514
3,ST,1,4,0.859718068664651,0.734305303386409,10201,6.02077725132243e-35,0,10201,6.02077725132243e-35,0
4,ST,1,5,0.859718068664651,0.868894410911812,3574,0.000119642297170085,0.350357808058034,3473,6.58155425764672e-05,0.343861386138614
5,ST,1,6,0.859718068664651,0.808456729773219,9858,1.15837064653638e-30,0.0336241544946574,9737,2.76139758426463e-31,0.0262026202620262
6,ST,2,3,0.860323359768876,0.818490636419451,9488,2.26860122856405e-26,0.0698951083227135,9315,3.3053624431978e-28,0.0494897959183673
7,ST,2,4,0.860323359768876,0.734305303386409,10201,6.02077725132243e-35,0,10100,8.79876627251807e-35,0
8,ST,2,5,0.860323359768876,0.868894410911812,3632,0.000204781922268084,0.356043525144594,3532,0.0001681048926931,0.3532
9,ST,2,6,0.860323359768876,0.808456729773219,9884,5.6156128593123e-31,0.0310753847661994,9706,5.85193859433975e-32,0.0195959595959596
10,ST,3,4,0.818490636419451,0.734305303386409,10130,4.90462464255898e-34,0.00696010195078914,9841,1.05239022524946e-33,0.00575873913922004
11,ST,3,5,0.818490636419451,0.868894410911812,528,1.78866959715709e-28,0.0517596314086854,350,7.75188985167899e-30,0.0357142857142857
12,ST,3,6,0.818490636419451,0.808456729773219,7185,2.62819901089248e-07,0.295657288501127,6880,1.98975631280974e-07,0.290867862296434
13,ST,4,5,0.734305303386409,0.868894410911812,0,6.02077725132243e-35,0,0,8.79876627251807e-35,0
14,ST,4,6,0.734305303386409,0.808456729773219,264,1.26815227440913e-31,0.0258798157043427,227,1.01501533832855e-31,0.0227022702270227
15,ST,5,6,0.868894410911812,0.808456729773219,9950,8.7819553142178e-32,0.0246054308401137,9746,1.82360794884625e-32,0.0155555555555556
16,NST,1,2,0.76390673548531,0.758544581830404,5577,0.125928385336024,0.45328889324576,5577,0.125928385336024,0.45328889324576
