"ENV_fun","gene_name","n"
"NH4.N","ammonium_transporter",1
"NH4.N","amoa",1
"NH4.N","cnorb",1
"NH4.N","hzo",1
"NH4.N","hzsa",1
"NH4.N","narb",1
"NH4.N","narg",1
"NH4.N","nasa",1
"NH4.N","nir",1
"NH4.N","nirk",1
"NH4.N","nitrate_reductase",1
"NH4.N","nitrite_transporter",1
"NH4.N","norb",1
"NH4.N","nosz",1
"NH4.N","urec",2
"NO3.N","norb",1
"TN","ammonium_transporter",1
"TN","amoa",1
"TN","cnorb",1
"TN","glna_fungi",1
"TN","hzsa",1
"TN","napa",1
"TN","nasa",1
"TN","nir",1
"TN","nitrite_transporter",1
"TN","urec",2
