"gene_ID","slope","p_value","ENV_fun","gene_name","gene_taxa","Study"
"amoa superkingdom:Bacteria",0.189449719612344,0.009,"NH4.N","amoa","superkingdom:Bacteria","Altitude (SNNR)"
"nasa superkingdom:Bacteria",0.215014647373136,0.004,"NH4.N","nasa","superkingdom:Bacteria","Altitude (SNNR)"
"norb superkingdom:Bacteria",0.179169639786585,0.02,"NH4.N","norb","superkingdom:Bacteria","Altitude (SNNR)"
"urec superkingdom:Bacteria",0.215404336064248,0.001,"NH4.N","urec","superkingdom:Bacteria","Altitude (SNNR)"
"napa superkingdom:Bacteria",0.269434385278807,0.004,"NH4.N","napa","superkingdom:Bacteria","Altitude (SNNR)"
"narg superkingdom:Bacteria",0.210393673810313,0.006,"NH4.N","narg","superkingdom:Bacteria","Altitude (SNNR)"
"nifh superkingdom:Bacteria",0.189591485441236,0.015,"NH4.N","nifh","superkingdom:Bacteria","Altitude (SNNR)"
"nosz superkingdom:Bacteria",0.215864395701848,0.008,"NH4.N","nosz","superkingdom:Bacteria","Altitude (SNNR)"
"nrfa superkingdom:Bacteria",0.187676852164656,0.004,"NH4.N","nrfa","superkingdom:Bacteria","Altitude (SNNR)"
"nifh superkingdom:Archaea",0.148744919845316,0.003,"NH4.N","nifh","superkingdom:Archaea","Altitude (SNNR)"
"amoa superkingdom:Archaea",0.233165354667183,0.001,"NH4.N","amoa","superkingdom:Archaea","Altitude (SNNR)"
"nirs superkingdom:Bacteria",0.166699780312188,0.008,"NH4.N","nirs","superkingdom:Bacteria","Altitude (SNNR)"
"nirk superkingdom:Bacteria",0.220603588887362,0.01,"NH4.N","nirk","superkingdom:Bacteria","Altitude (SNNR)"
"gdh superkingdom:Bacteria",0.145087787709158,0.014,"NH4.N","gdh","superkingdom:Bacteria","Altitude (SNNR)"
"nira superkingdom:Bacteria",0.121475977167027,0.038,"NH4.N","nira","superkingdom:Bacteria","Altitude (SNNR)"
"hao superkingdom:Bacteria",0.157699866293276,0.022,"NH4.N","hao","superkingdom:Bacteria","Altitude (SNNR)"
"nirb superkingdom:Bacteria",0.174460424935402,0.016,"NH4.N","nirb","superkingdom:Bacteria","Altitude (SNNR)"
"nir superkingdom:Bacteria",0.188799971338109,0.011,"NH4.N","nir","superkingdom:Bacteria","Altitude (SNNR)"
"gdh superkingdom:Archaea",0.224350789369654,0.005,"NH4.N","gdh","superkingdom:Archaea","Altitude (SNNR)"
"nirk superkingdom:Archaea",0.120361785144804,0.029,"NH4.N","nirk","superkingdom:Archaea","Altitude (SNNR)"
"nira superkingdom:Archaea",0.312109403044452,0.005,"NH4.N","nira","superkingdom:Archaea","Altitude (SNNR)"
"hzo superkingdom:Bacteria",0.172794642328875,0.008,"NH4.N","hzo","superkingdom:Bacteria","Altitude (SNNR)"
"glna_fungi superkingdom:Eukaryota",0.222861676756677,0.002,"NH4.N","glna_fungi","superkingdom:Eukaryota","Altitude (SNNR)"
