"gene_ID","slope","p_value","ENV_fun","gene_name","gene_taxa","Study"
"nitrite_transporter superkingdom:Eukaryota",0.232253712750409,0.001,"TC","nitrite_transporter","superkingdom:Eukaryota","Latitude (North America)"
"norb superkingdom:Bacteria",0.11357381850857,0.002,"Rainfall","norb","superkingdom:Bacteria","Latitude (North America)"
"nosz superkingdom:Bacteria",0.107997895063836,0.005,"Rainfall","nosz","superkingdom:Bacteria","Latitude (North America)"
"napa superkingdom:Bacteria",0.107428358858941,0.005,"Rainfall","napa","superkingdom:Bacteria","Latitude (North America)"
"narg superkingdom:Bacteria",0.105976120607592,0.005,"Rainfall","narg","superkingdom:Bacteria","Latitude (North America)"
"nifh superkingdom:Bacteria",0.106732662717138,0.004,"Rainfall","nifh","superkingdom:Bacteria","Latitude (North America)"
"nrfa superkingdom:Bacteria",0.0920809670900192,0.005,"Rainfall","nrfa","superkingdom:Bacteria","Latitude (North America)"
"nirk superkingdom:Eukaryota",0.0663320895073172,0.02,"Rainfall","nirk","superkingdom:Eukaryota","Latitude (North America)"
"nirs superkingdom:Bacteria",0.121506047864368,0.001,"Rainfall","nirs","superkingdom:Bacteria","Latitude (North America)"
"nirb superkingdom:Bacteria",0.127453314148305,0.001,"Rainfall","nirb","superkingdom:Bacteria","Latitude (North America)"
"urec superkingdom:Bacteria",0.111681423197326,0.001,"Rainfall","urec","superkingdom:Bacteria","Latitude (North America)"
"nirk superkingdom:Bacteria",0.108528562930201,0.002,"Rainfall","nirk","superkingdom:Bacteria","Latitude (North America)"
"gdh superkingdom:Bacteria",0.083455793451856,0.011,"Rainfall","gdh","superkingdom:Bacteria","Latitude (North America)"
"nasa superkingdom:Bacteria",0.0970247893557303,0.006,"Rainfall","nasa","superkingdom:Bacteria","Latitude (North America)"
"hao superkingdom:Bacteria",0.0776137902014867,0.003,"Rainfall","hao","superkingdom:Bacteria","Latitude (North America)"
"ammonium_transporter superkingdom:Eukaryota",0.0845692835828574,0.015,"Rainfall","ammonium_transporter","superkingdom:Eukaryota","Latitude (North America)"
"nifh superkingdom:Archaea",0.117711348294972,0.002,"Rainfall","nifh","superkingdom:Archaea","Latitude (North America)"
"nitrite_transporter superkingdom:Eukaryota",0.0887107584660813,0.017,"Rainfall","nitrite_transporter","superkingdom:Eukaryota","Latitude (North America)"
"nira superkingdom:Bacteria",0.137708458187724,0.001,"Rainfall","nira","superkingdom:Bacteria","Latitude (North America)"
"narb superkingdom:Bacteria",0.115343463546724,0.001,"Rainfall","narb","superkingdom:Bacteria","Latitude (North America)"
"glna_fungi superkingdom:Eukaryota",0.118079673821342,0.004,"Rainfall","glna_fungi","superkingdom:Eukaryota","Latitude (North America)"
"nir superkingdom:Bacteria",0.153802807096374,0.001,"Rainfall","nir","superkingdom:Bacteria","Latitude (North America)"
"nitrate_transporter superkingdom:Eukaryota",0.0900531184562,0.02,"Rainfall","nitrate_transporter","superkingdom:Eukaryota","Latitude (North America)"
"glutamate_synthase_protist superkingdom:Eukaryota",0.0928449105599795,0.001,"Rainfall","glutamate_synthase_protist","superkingdom:Eukaryota","Latitude (North America)"
"nitrate_reductase superkingdom:Eukaryota",0.147533108570156,0.001,"Rainfall","nitrate_reductase","superkingdom:Eukaryota","Latitude (North America)"
"amoa_quasi superkingdom:Bacteria",0.0876670450499885,0.008,"Rainfall","amoa_quasi","superkingdom:Bacteria","Latitude (North America)"
"nir superkingdom:Archaea",0.0844355134444077,0.018,"Rainfall","nir","superkingdom:Archaea","Latitude (North America)"
"gdh superkingdom:Archaea",0.0926563648810332,0.001,"Rainfall","gdh","superkingdom:Archaea","Latitude (North America)"
"norb superkingdom:Bacteria",0.0970671603926399,0.004,"Temperature","norb","superkingdom:Bacteria","Latitude (North America)"
"nosz superkingdom:Bacteria",0.0851328659079894,0.007,"Temperature","nosz","superkingdom:Bacteria","Latitude (North America)"
"napa superkingdom:Bacteria",0.0902656120166441,0.009,"Temperature","napa","superkingdom:Bacteria","Latitude (North America)"
"nifh superkingdom:Bacteria",0.0806449450638592,0.017,"Temperature","nifh","superkingdom:Bacteria","Latitude (North America)"
"nrfa superkingdom:Bacteria",0.0999543183717254,0.009,"Temperature","nrfa","superkingdom:Bacteria","Latitude (North America)"
"nirs superkingdom:Bacteria",0.0954049661161942,0.006,"Temperature","nirs","superkingdom:Bacteria","Latitude (North America)"
"nirb superkingdom:Bacteria",0.108967670089463,0.001,"Temperature","nirb","superkingdom:Bacteria","Latitude (North America)"
"urec superkingdom:Bacteria",0.0932772832818286,0.005,"Temperature","urec","superkingdom:Bacteria","Latitude (North America)"
"hao superkingdom:Bacteria",0.0747681712135934,0.004,"Temperature","hao","superkingdom:Bacteria","Latitude (North America)"
"nira superkingdom:Bacteria",0.0835858240065453,0.005,"Temperature","nira","superkingdom:Bacteria","Latitude (North America)"
"nir superkingdom:Bacteria",0.0923212291021725,0.006,"Temperature","nir","superkingdom:Bacteria","Latitude (North America)"
"nitrate_reductase superkingdom:Eukaryota",0.0963843846564541,0.002,"Temperature","nitrate_reductase","superkingdom:Eukaryota","Latitude (North America)"
"nir superkingdom:Archaea",0.0956325379384109,0.007,"Temperature","nir","superkingdom:Archaea","Latitude (North America)"
"gdh superkingdom:Archaea",0.0693647830229089,0.004,"Temperature","gdh","superkingdom:Archaea","Latitude (North America)"
"hao superkingdom:Bacteria",0.0863040861439448,0.002,"pH","hao","superkingdom:Bacteria","Latitude (North America)"
"gdh superkingdom:Archaea",0.126699102458351,0.001,"pH","gdh","superkingdom:Archaea","Latitude (North America)"
