"gene_ID","slope","p_value","ENV_fun","gene_name","gene_taxa","Study"
"nosz superkingdom:Bacteria",-0.347807207989579,0.0154217270446915,"NH4.N","nosz","superkingdom:Bacteria","Altitude (HKV)"
"nifh superkingdom:Bacteria",0.665116279069767,8.43828581544331e-07,"NH4.N","nifh","superkingdom:Bacteria","Altitude (HKV)"
"nrfa superkingdom:Bacteria",0.548089448545376,5.51841729914117e-05,"NH4.N","nrfa","superkingdom:Bacteria","Altitude (HKV)"
"nrfa superkingdom:Bacteria",0.471558836300478,0.000716232626201247,"NH4.N","nrfa","superkingdom:Bacteria","Altitude (HKV)"
"nira superkingdom:Archaea",0.395245332175423,0.00542988520720291,"NH4.N","nira","superkingdom:Archaea","Altitude (HKV)"
"urec superkingdom:Bacteria",0.582175423360834,1.42125788792781e-05,"NH4.N","urec","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.332609639600521,0.0208970234539723,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"urec superkingdom:Bacteria",-0.5695831524099,2.38747344304596e-05,"NH4.N","urec","superkingdom:Bacteria","Altitude (HKV)"
"nirb superkingdom:Bacteria",0.667064698219713,2.25194530118463e-07,"NH4.N","nirb","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.523230568823274,0.000135760587164154,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.39448545375597,0.00552809641165532,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"nirk superkingdom:Bacteria",-0.38265306122449,0.00726992758060646,"NH4.N","nirk","superkingdom:Bacteria","Altitude (HKV)"
"urec superkingdom:Bacteria",-0.441706469821971,0.00167265593894598,"NH4.N","urec","superkingdom:Bacteria","Altitude (HKV)"
"ammonium_transporter superkingdom:Eukaryota",0.720629047178538,1.63224886724941e-08,"NH4.N","ammonium_transporter","superkingdom:Eukaryota","Altitude (HKV)"
"nitrite_transporter superkingdom:Eukaryota",0.743161094224924,1.45552493774152e-09,"NH4.N","nitrite_transporter","superkingdom:Eukaryota","Altitude (HKV)"
"urec superkingdom:Bacteria",0.469062092922275,0.000771170535190401,"NH4.N","urec","superkingdom:Bacteria","Altitude (HKV)"
"nosz superkingdom:Bacteria",0.646245059288537,1.62717733474032e-06,"NH4.N","nosz","superkingdom:Bacteria","Altitude (HKV)"
