"gene_ID","slope","p_value","ENV_fun","gene_name","gene_taxa","Study"
"nirs superkingdom:Bacteria",-0.392954211628632,7.56650557951877e-06,"NH4.N","nirs","superkingdom:Bacteria","Latitude (North America)"
"nirs superkingdom:Bacteria",-0.263874445275957,0.0029446717232461,"NH4.N","nirs","superkingdom:Bacteria","Latitude (North America)"
"nirk superkingdom:Bacteria",-0.233212198293773,0.00858752091676925,"NH4.N","nirk","superkingdom:Bacteria","Latitude (North America)"
"gdh superkingdom:Bacteria",-0.247878117973179,0.00590848870431226,"NH4.N","gdh","superkingdom:Bacteria","Latitude (North America)"
"nosz superkingdom:Bacteria",-0.260301852721482,0.00324333411107316,"NH4.N","nosz","superkingdom:Bacteria","Latitude (North America)"
"nitrate_reductase unknown_taxa",-0.233998101234761,0.00836026948602483,"NH4.N","nitrate_reductase","unknown_taxa","Latitude (North America)"
"ammonium_transporter superkingdom:Eukaryota",-0.357711762998522,4.2121912644902e-05,"NH4.N","ammonium_transporter","superkingdom:Eukaryota","Latitude (North America)"
"narg superkingdom:Bacteria",-0.302785605978002,0.000568636730588392,"NH4.N","narg","superkingdom:Bacteria","Latitude (North America)"
"nifh superkingdom:Archaea",-0.261597692685248,0.0030877254054448,"NH4.N","nifh","superkingdom:Archaea","Latitude (North America)"
"narg superkingdom:Bacteria",-0.292844833663372,0.000875728149527035,"NH4.N","narg","superkingdom:Bacteria","Latitude (North America)"
"nosz superkingdom:Bacteria",-0.386202304015888,7.9526314094449e-06,"NH4.N","nosz","superkingdom:Bacteria","Latitude (North America)"
"urec superkingdom:Bacteria",-0.253065731381157,0.0051013077725679,"NH4.N","urec","superkingdom:Bacteria","Latitude (North America)"
"gdh superkingdom:Bacteria",-0.289536242274405,0.00100767404334398,"NH4.N","gdh","superkingdom:Bacteria","Latitude (North America)"
"urec superkingdom:Bacteria",-0.328765397473782,0.00017083958612417,"NH4.N","urec","superkingdom:Bacteria","Latitude (North America)"
"urec superkingdom:Eukaryota",-0.341594813040974,9.05531967451752e-05,"NH4.N","urec","superkingdom:Eukaryota","Latitude (North America)"
"ammonium_transporter superkingdom:Eukaryota",-0.271601457220339,0.00209531422778812,"NH4.N","ammonium_transporter","superkingdom:Eukaryota","Latitude (North America)"
"narg superkingdom:Bacteria",-0.385263419968067,8.4020775370741e-06,"NH4.N","narg","superkingdom:Bacteria","Latitude (North America)"
"napa superkingdom:Bacteria",-0.353902293067204,4.79659635642258e-05,"NH4.N","napa","superkingdom:Bacteria","Latitude (North America)"
"nifh superkingdom:Bacteria",-0.259152994605458,0.00338715721442103,"NH4.N","nifh","superkingdom:Bacteria","Latitude (North America)"
"narg superkingdom:Bacteria",-0.292115923683754,0.000903357559507912,"NH4.N","narg","superkingdom:Bacteria","Latitude (North America)"
"urec superkingdom:Bacteria",-0.261618690092068,0.00308526030523326,"NH4.N","urec","superkingdom:Bacteria","Latitude (North America)"
"nirb superkingdom:Bacteria",-0.37142012961441,1.85362092984359e-05,"NH4.N","nirb","superkingdom:Bacteria","Latitude (North America)"
"narg superkingdom:Bacteria",-0.239826381442162,0.00683439489422749,"NH4.N","narg","superkingdom:Bacteria","Latitude (North America)"
"nifh superkingdom:Bacteria",-0.334716662492559,0.000127703703444164,"NH4.N","nifh","superkingdom:Bacteria","Latitude (North America)"
"nirs superkingdom:Bacteria",-0.492065229944655,4.86485138204978e-09,"NH4.N","nirs","superkingdom:Bacteria","Latitude (North America)"
"glna_fungi superkingdom:Eukaryota",-0.293612738827085,0.000847459521833774,"NH4.N","glna_fungi","superkingdom:Eukaryota","Latitude (North America)"
"nir superkingdom:Bacteria",-0.269408728022392,0.00228401623171376,"NH4.N","nir","superkingdom:Bacteria","Latitude (North America)"
"narg superkingdom:Bacteria",-0.457065552404792,7.45096001695884e-08,"NH4.N","narg","superkingdom:Bacteria","Latitude (North America)"
"narg superkingdom:Bacteria",0.229762624316155,0.00965078297094208,"NH4.N","narg","superkingdom:Bacteria","Latitude (North America)"
"gdh superkingdom:Bacteria",-0.252796779598004,0.00429156162506297,"NH4.N","gdh","superkingdom:Bacteria","Latitude (North America)"
"hzsa superkingdom:Bacteria",-0.236277819689534,0.00773084612807687,"NH4.N","hzsa","superkingdom:Bacteria","Latitude (North America)"
"nosz superkingdom:Bacteria",-0.24844731675666,0.00502941693822926,"NH4.N","nosz","superkingdom:Bacteria","Latitude (North America)"
"urec superkingdom:Bacteria",-0.233020222002845,0.00864385495379599,"NH4.N","urec","superkingdom:Bacteria","Latitude (North America)"
"nitrite_reductase_protist superkingdom:Eukaryota",-0.320421121504103,0.000320573802949408,"NH4.N","nitrite_reductase_protist","superkingdom:Eukaryota","Latitude (North America)"
"nosz superkingdom:Bacteria",-0.280347588859914,0.00154208226646136,"NH4.N","nosz","superkingdom:Bacteria","Latitude (North America)"
"nosz superkingdom:Bacteria",-0.241941999911192,0.0065612933651532,"NH4.N","nosz","superkingdom:Bacteria","Latitude (North America)"
"nosz superkingdom:Bacteria",-0.23874651480569,0.00709689331439522,"NH4.N","nosz","superkingdom:Bacteria","Latitude (North America)"
"nifh superkingdom:Archaea",-0.31124203185252,0.000433901696166321,"NH4.N","nifh","superkingdom:Archaea","Latitude (North America)"
"gdh superkingdom:Bacteria",-0.297575249457027,0.000714427991921503,"NH4.N","gdh","superkingdom:Bacteria","Latitude (North America)"
"nosz superkingdom:Bacteria",-0.299644846019011,0.00072237281245741,"NH4.N","nosz","superkingdom:Bacteria","Latitude (North America)"
"urec superkingdom:Bacteria",-0.258631059064496,0.00345437205713364,"NH4.N","urec","superkingdom:Bacteria","Latitude (North America)"
"nosz superkingdom:Bacteria",-0.327955497496428,0.000177660032294443,"NH4.N","nosz","superkingdom:Bacteria","Latitude (North America)"
"norb superkingdom:Bacteria",-0.306906690669067,0.00189766856646504,"NH4.N","norb","superkingdom:Bacteria","Latitude (North America)"
"narg superkingdom:Bacteria",-0.3919525938551,5.65813126304152e-06,"NH4.N","narg","superkingdom:Bacteria","Latitude (North America)"
"nifh superkingdom:Bacteria",-0.235935861921318,0.0078225010797073,"NH4.N","nifh","superkingdom:Bacteria","Latitude (North America)"
"narg superkingdom:Bacteria",-0.236472795610008,0.00767901337293406,"NH4.N","narg","superkingdom:Bacteria","Latitude (North America)"
"nasa superkingdom:Bacteria",-0.377419903807428,1.82395280825214e-05,"NH4.N","nasa","superkingdom:Bacteria","Latitude (North America)"
"napa superkingdom:Bacteria",-0.424578225159065,8.02461943785783e-07,"NH4.N","napa","superkingdom:Bacteria","Latitude (North America)"
"nosz superkingdom:Bacteria",-0.312796898789398,0.000477392896769878,"NH4.N","nosz","superkingdom:Bacteria","Latitude (North America)"
"narg superkingdom:Bacteria",-0.261753673421627,0.0030694555149486,"NH4.N","narg","superkingdom:Bacteria","Latitude (North America)"
"hao superkingdom:Bacteria",-0.324436051094139,0.000266611164664595,"NH4.N","hao","superkingdom:Bacteria","Latitude (North America)"
"napa superkingdom:Bacteria",-0.233962105680212,0.0083705606584604,"NH4.N","napa","superkingdom:Bacteria","Latitude (North America)"
"urec superkingdom:Bacteria",-0.376602729036894,1.49977746179105e-05,"NH4.N","urec","superkingdom:Bacteria","Latitude (North America)"
"nifh superkingdom:Bacteria",-0.291881952579185,0.000912394031417783,"NH4.N","nifh","superkingdom:Bacteria","Latitude (North America)"
"nirk superkingdom:Bacteria",-0.33096412593082,0.000153530411920964,"NH4.N","nirk","superkingdom:Bacteria","Latitude (North America)"
"nifh superkingdom:Bacteria",-0.241473178062781,0.00645066406017985,"NH4.N","nifh","superkingdom:Bacteria","Latitude (North America)"
"nifh superkingdom:Bacteria",-0.252546383254893,0.00558943983119735,"NH4.N","nifh","superkingdom:Bacteria","Latitude (North America)"
"napa superkingdom:Bacteria",-0.348253990632549,6.44177164956145e-05,"NH4.N","napa","superkingdom:Bacteria","Latitude (North America)"
"nirk superkingdom:Bacteria",-0.237882357014232,0.00780428451828605,"NH4.N","nirk","superkingdom:Bacteria","Latitude (North America)"
"napa superkingdom:Bacteria",-0.566033346124449,1.61455281132321e-11,"NH4.N","napa","superkingdom:Bacteria","Latitude (North America)"
"nitrate_reductase superkingdom:Eukaryota",-0.23256427831189,0.00877895791283655,"NH4.N","nitrate_reductase","superkingdom:Eukaryota","Latitude (North America)"
"nosz superkingdom:Bacteria",-0.254041625859492,0.0040990396968835,"NH4.N","nosz","superkingdom:Bacteria","Latitude (North America)"
"nasa superkingdom:Bacteria",-0.298919083493525,0.000673858188309185,"NH4.N","nasa","superkingdom:Bacteria","Latitude (North America)"
"nitrate_reductase superkingdom:Eukaryota",-0.371867074416728,1.80787786333749e-05,"NH4.N","nitrate_reductase","superkingdom:Eukaryota","Latitude (North America)"
"urec superkingdom:Eukaryota",-0.430887785358993,4.7402778228282e-07,"NH4.N","urec","superkingdom:Eukaryota","Latitude (North America)"
"nirk superkingdom:Bacteria",-0.339676770893271,0.000138051187477007,"NH4.N","nirk","superkingdom:Bacteria","Latitude (North America)"
"narb superkingdom:Bacteria",-0.231844367220909,0.00899607453735937,"NH4.N","narb","superkingdom:Bacteria","Latitude (North America)"
"narg superkingdom:Bacteria",-0.288738340815234,0.00104210261087405,"NH4.N","narg","superkingdom:Bacteria","Latitude (North America)"
"narg superkingdom:Bacteria",-0.501106113395559,2.28400310361849e-09,"NH4.N","narg","superkingdom:Bacteria","Latitude (North America)"
"nir superkingdom:Bacteria",-0.303652498916725,0.000547222814470766,"NH4.N","nir","superkingdom:Bacteria","Latitude (North America)"
"urec superkingdom:Bacteria",-0.411093229986559,1.73854498704016e-06,"NH4.N","urec","superkingdom:Bacteria","Latitude (North America)"
"nasa superkingdom:Bacteria",-0.292256906272404,0.000897952142115827,"NH4.N","nasa","superkingdom:Bacteria","Latitude (North America)"
"nirs superkingdom:Bacteria",-0.229600644320685,0.00970344242255235,"NH4.N","nirs","superkingdom:Bacteria","Latitude (North America)"
"nosz superkingdom:Bacteria",-0.373730479831317,2.41701205276924e-05,"NH4.N","nosz","superkingdom:Bacteria","Latitude (North America)"
"narg superkingdom:Bacteria",-0.310026711701454,0.000411155242846612,"NH4.N","narg","superkingdom:Bacteria","Latitude (North America)"
"nirk superkingdom:Bacteria",-0.464744185475488,4.76374364472444e-08,"NH4.N","nirk","superkingdom:Bacteria","Latitude (North America)"
"narg superkingdom:Bacteria",-0.23818858371018,0.00723598982424195,"NH4.N","narg","superkingdom:Bacteria","Latitude (North America)"
"urec superkingdom:Bacteria",-0.244118851322136,0.00587416864833852,"NH4.N","urec","superkingdom:Bacteria","Latitude (North America)"
"narg superkingdom:Bacteria",-0.243512665115988,0.00664574641563164,"NH4.N","narg","superkingdom:Bacteria","Latitude (North America)"
"nosz superkingdom:Bacteria",-0.283090038380578,0.00131825030955931,"NH4.N","nosz","superkingdom:Bacteria","Latitude (North America)"
"nosz superkingdom:Bacteria",-0.265892881556199,0.00272604447044889,"NH4.N","nosz","superkingdom:Bacteria","Latitude (North America)"
"urec superkingdom:Bacteria",-0.280538065342981,0.00153023563926682,"NH4.N","urec","superkingdom:Bacteria","Latitude (North America)"
"hao superkingdom:Bacteria",-0.262140625633029,0.00302455184912956,"NH4.N","hao","superkingdom:Bacteria","Latitude (North America)"
"narg superkingdom:Bacteria",-0.294989568788586,0.000798858805631542,"NH4.N","narg","superkingdom:Bacteria","Latitude (North America)"
"narg superkingdom:Bacteria",-0.230185572082107,0.00951446794757909,"NH4.N","narg","superkingdom:Bacteria","Latitude (North America)"
"hao superkingdom:Bacteria",-0.432235043246693,2.4132839380185e-06,"NH4.N","hao","superkingdom:Bacteria","Latitude (North America)"
"narg superkingdom:Bacteria",-0.353818303439923,4.81787374488649e-05,"NH4.N","narg","superkingdom:Bacteria","Latitude (North America)"
"glutamate_synthase_protist superkingdom:Eukaryota",-0.293498494883912,0.000938526820989824,"NH4.N","glutamate_synthase_protist","superkingdom:Eukaryota","Latitude (North America)"
"nosz superkingdom:Bacteria",-0.332481489454482,0.00213354910572598,"NH4.N","nosz","superkingdom:Bacteria","Latitude (North America)"
"nifh superkingdom:Bacteria",-0.370402292029827,3.64969054115046e-05,"NH4.N","nifh","superkingdom:Bacteria","Latitude (North America)"
"nifh superkingdom:Bacteria",-0.261777670457993,0.00306665342217291,"NH4.N","nifh","superkingdom:Bacteria","Latitude (North America)"
"nrfa superkingdom:Bacteria",-0.305080322580504,0.000513564303716714,"NH4.N","nrfa","superkingdom:Bacteria","Latitude (North America)"
"nifh superkingdom:Bacteria",-0.410100352606914,1.85164708074024e-06,"NH4.N","nifh","superkingdom:Bacteria","Latitude (North America)"
"urec superkingdom:Bacteria",-0.339246680248497,0.000132091347204251,"NH4.N","urec","superkingdom:Bacteria","Latitude (North America)"
"nosz superkingdom:Bacteria",-0.308019959535344,0.00045018902890097,"NH4.N","nosz","superkingdom:Bacteria","Latitude (North America)"
"urec superkingdom:Bacteria",-0.322607158016348,0.00022944516868478,"NH4.N","urec","superkingdom:Bacteria","Latitude (North America)"
