"ENV_fun","gene_name","n"
"NH4.N","ammonium_transporter",6
"NH4.N","amoa",3
"NH4.N","amoa_quasi",10
"NH4.N","cnorb",4
"NH4.N","gdh",21
"NH4.N","glna_fungi",2
"NH4.N","glutamate_synthase_protist",1
"NH4.N","glutamine_synthetase_protist",6
"NH4.N","hao",4
"NH4.N","hzo",1
"NH4.N","hzsa",1
"NH4.N","napa",15
"NH4.N","narb",8
"NH4.N","narg",104
"NH4.N","nasa",11
"NH4.N","nifh",61
"NH4.N","nir",7
"NH4.N","nira",7
"NH4.N","nirb",6
"NH4.N","nirk",30
"NH4.N","nirs",38
"NH4.N","nitrate_reductase",14
"NH4.N","nitrate_transporter",4
"NH4.N","nitrite_transporter",2
"NH4.N","norb",9
"NH4.N","nosz",45
"NH4.N","nrfa",21
"NH4.N","urec",61
"NO3.N","nitrate_reductase",1
"NO3.N","urec",1
"TN","ammonium_transporter",9
"TN","amoa",3
"TN","amoa_quasi",10
"TN","cnorb",4
"TN","gdh",21
"TN","glutamate_synthase_protist",2
"TN","glutamine_synthetase_protist",5
"TN","hao",3
"TN","hzo",1
"TN","hzsa",1
"TN","napa",15
"TN","narb",6
"TN","narg",72
"TN","nasa",11
"TN","nifh",63
"TN","nir",6
"TN","nira",4
"TN","nirb",5
"TN","nirk",20
"TN","nirs",26
"TN","nitrate_reductase",8
"TN","nitrite_reductase_protist",1
"TN","nitrite_transporter",2
"TN","norb",6
"TN","nosz",42
"TN","nrfa",19
"TN","urec",44
