"ENV_fun","gene_name","n"
"NH4.N","ammonium_transporter",5
"NH4.N","amoa",1
"NH4.N","amoa_quasi",2
"NH4.N","gdh",13
"NH4.N","glna_fungi",2
"NH4.N","glutamate_synthase_protist",2
"NH4.N","hao",5
"NH4.N","hzsa",2
"NH4.N","napa",9
"NH4.N","narb",1
"NH4.N","narg",48
"NH4.N","nasa",6
"NH4.N","nifh",40
"NH4.N","nir",4
"NH4.N","nira",2
"NH4.N","nirb",4
"NH4.N","nirk",19
"NH4.N","nirs",18
"NH4.N","nitrate_reductase",5
"NH4.N","nitrate_transporter",2
"NH4.N","nitrite_reductase_protist",2
"NH4.N","nitrite_transporter",3
"NH4.N","norb",5
"NH4.N","nosz",35
"NH4.N","nrfa",6
"NH4.N","p450nor",1
"NH4.N","urec",32
"NO3.N","ammonium_transporter",2
"NO3.N","amoa",1
"NO3.N","cnorb",2
"NO3.N","gdh",5
"NO3.N","glna_fungi",1
"NO3.N","glutamate_synthase_protist",1
"NO3.N","glutamine_synthetase_protist",1
"NO3.N","hao",1
"NO3.N","hzsa",1
"NO3.N","napa",4
"NO3.N","narb",1
"NO3.N","narg",24
"NO3.N","nasa",3
"NO3.N","nifh",12
"NO3.N","nir",1
"NO3.N","nira",2
"NO3.N","nirb",3
"NO3.N","nirk",7
"NO3.N","nirs",11
"NO3.N","nitrate_reductase",4
"NO3.N","nitrate_transporter",2
"NO3.N","nitrite_transporter",1
"NO3.N","norb",2
"NO3.N","nosz",12
"NO3.N","nrfa",3
"NO3.N","urec",20
"TN","amoa_quasi",1
"TN","gdh",3
"TN","glutamate_synthase_protist",1
"TN","glutamine_synthetase_protist",2
"TN","hao",2
"TN","napa",1
"TN","narg",17
"TN","nasa",1
"TN","nifh",4
"TN","nira",1
"TN","nirb",1
"TN","nirk",4
"TN","nirs",9
"TN","nitrite_transporter",1
"TN","norb",3
"TN","nosz",12
"TN","nrfa",3
"TN","urec",2
