"","row","col","Dist","Method","Metric","row.Site","col.Site","Comparison","Study"
"1","C_1","C_2",0.021861686333696,"Jaccard","Abundance","C","C","Within-group","Altitude (HKV)"
"2","C_1","C_3",0.0695686586831785,"Jaccard","Abundance","C","C","Within-group","Altitude (HKV)"
"3","C_2","C_3",0.0557754157536575,"Jaccard","Abundance","C","C","Within-group","Altitude (HKV)"
"4","C_1","C_4",0.216896507855043,"Jaccard","Abundance","C","C","Within-group","Altitude (HKV)"
"5","C_2","C_4",0.205126807931459,"Jaccard","Abundance","C","C","Within-group","Altitude (HKV)"
"6","C_3","C_4",0.160104897344062,"Jaccard","Abundance","C","C","Within-group","Altitude (HKV)"
"7","C_1","D_1",0.0238998456441463,"Jaccard","Abundance","C","D","Between-group","Altitude (HKV)"
"8","C_2","D_1",0.0269549393136437,"Jaccard","Abundance","C","D","Between-group","Altitude (HKV)"
"9","C_3","D_1",0.0602031712979996,"Jaccard","Abundance","C","D","Between-group","Altitude (HKV)"
"10","C_4","D_1",0.206673332386299,"Jaccard","Abundance","C","D","Between-group","Altitude (HKV)"
"11","C_1","D_2",0.0210140617155439,"Jaccard","Abundance","C","D","Between-group","Altitude (HKV)"
"12","C_2","D_2",0.0272679846915927,"Jaccard","Abundance","C","D","Between-group","Altitude (HKV)"
"13","C_3","D_2",0.0703359353426669,"Jaccard","Abundance","C","D","Between-group","Altitude (HKV)"
"14","C_4","D_2",0.216300503347398,"Jaccard","Abundance","C","D","Between-group","Altitude (HKV)"
"15","D_1","D_2",0.0222897324436787,"Jaccard","Abundance","D","D","Within-group","Altitude (HKV)"
"16","C_1","D_3",0.0336965175708643,"Jaccard","Abundance","C","D","Between-group","Altitude (HKV)"
"17","C_2","D_3",0.0253058675107867,"Jaccard","Abundance","C","D","Between-group","Altitude (HKV)"
"18","C_3","D_3",0.0476834446615777,"Jaccard","Abundance","C","D","Between-group","Altitude (HKV)"
"19","C_4","D_3",0.195263439016139,"Jaccard","Abundance","C","D","Between-group","Altitude (HKV)"
"20","D_1","D_3",0.0259777233246928,"Jaccard","Abundance","D","D","Within-group","Altitude (HKV)"
"21","D_2","D_3",0.0304915537940711,"Jaccard","Abundance","D","D","Within-group","Altitude (HKV)"
