"","row","col","Dist","Method","Metric","row.Site","col.Site","Comparison","Study"
"1","GM1","GM10",0.191033630703269,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"2","GM1","GM12",0.166362827409929,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"3","GM10","GM12",0.32473337086537,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"4","GM1","GM13",0.0359932836790457,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"5","GM10","GM13",0.185238361005067,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"6","GM12","GM13",0.172663594360673,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"7","GM1","GM14",0.0699405421622142,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"8","GM10","GM14",0.133546755114349,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"9","GM12","GM14",0.221715581331093,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"10","GM13","GM14",0.0650090750725978,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"11","GM1","GM3",0.262890438100927,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"12","GM10","GM3",0.0897768610854045,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"13","GM12","GM3",0.384726800639922,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"14","GM13","GM3",0.257151239204524,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"15","GM14","GM3",0.209872723083753,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"16","GM1","GM4",0.15285745191514,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"17","GM10","GM4",0.053219932618348,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"18","GM12","GM4",0.292567947854107,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"19","GM13","GM4",0.147202232345063,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"20","GM14","GM4",0.093441092383473,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"21","GM3","GM4",0.131011313445234,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"22","GM1","GM5",0.117977665223311,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"23","GM10","GM5",0.0872744982397076,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"24","GM12","GM5",0.262752961641837,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"25","GM13","GM5",0.111832973533096,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"26","GM14","GM5",0.0584812059700111,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"27","GM3","GM5",0.166202526688974,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"28","GM4","GM5",0.0496588648486232,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"29","GM1","GM6",0.0542080155761066,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"30","GM10","GM6",0.149595984737288,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
