"Site_comparision","R2","P.x","ANOSIM-R","P.y","MRPP-A","P"
"Overall","0.56***",0.001," 0.39***","0.001"," 0.34***","0.001"
"C-D","0.02",0.779,"-0.06","0.582","-0.09","0.623"
"C-E","0.34",0.107," 0.11","0.223"," 0.11","0.122"
"C-F","0.20",0.268,"-0.05","0.564"," 0.00","0.254"
"C-G","0.36",0.076," 0.21","0.131"," 0.14","0.087"
"C-H","0.58*",0.027," 0.59*","0.034"," 0.34*","0.028"
"C-I","0.69*",0.025," 0.67*","0.029"," 0.48*","0.016"
"C-M","0.06",0.577," 0.06","0.254","-0.01","0.332"
"C-MF","0.05",0.501," 0.07","0.396","-0.02","0.474"
"C-MW","0.23",0.22," 0.34","0.058"," 0.13","0.182"
"C-WF","0.07",0.552,"-0.01","0.336","-0.04","0.364"
"C-WM","0.60*",0.043," 0.53*","0.026"," 0.34*","0.023"
"D-E","0.23",0.154," 0.14","0.249"," 0.06","0.1"
"D-F","0.15",0.426," 0.01","0.468","-0.01","0.511"
"D-G","0.24",0.105," 0.25","0.117"," 0.08","0.108"
"D-H","0.39*",0.036," 0.60*","0.031"," 0.25*","0.026"
"D-I","0.49*",0.028," 0.62*","0.039"," 0.37*","0.028"
"D-M","0.01",0.919," 0.19","0.143"," 0.02","0.381"
"D-MF","0.06",0.476," 0.15","0.217","-0.04","0.491"
"D-MW","0.05",0.634," 0.45","0.057"," 0.13","0.147"
"D-WF","0.02",0.746," 0.17","0.169","-0.02","0.213"
"D-WM","0.42*",0.026," 0.53*","0.036"," 0.25*","0.039"
"E-F","0.13",0.439,"-0.11","0.742","-0.03","0.491"
"E-G","0.08",0.496,"-0.02","0.438","-0.03","0.483"
"E-H","0.48",0.084," 0.30","0.121"," 0.19","0.057"
"E-I","0.76*",0.03," 0.84*","0.031"," 0.48*","0.035"
"E-M","0.64",0.059," 0.58","0.067"," 0.34","0.056"
"E-MF","0.08",0.741," 0.01","0.427","-0.02","0.584"
"E-MW","0.83*",0.03," 0.96*","0.025"," 0.53*","0.027"
"E-WF","0.52",0.054," 0.44*","0.026"," 0.26*","0.049"
"E-WM","0.49",0.089," 0.38","0.131"," 0.23","0.083"
"F-G","0.17",0.33,"-0.03","0.542"," 0.00","0.338"
"F-H","0.57*",0.034," 0.51*","0.023"," 0.28*","0.026"
"F-I","0.77*",0.032," 0.84*","0.033"," 0.50*","0.035"
"F-M","0.48",0.061," 0.36","0.062"," 0.21","0.051"
"F-MF","0.03",0.878," 0.06","0.281","-0.03","0.535"
"F-MW","0.74*",0.028," 0.79*","0.022"," 0.42*","0.031"
"F-WF","0.40",0.117," 0.27","0.133"," 0.16","0.109"
"F-WM","0.58",0.054," 0.51*","0.048"," 0.29","0.06"
"G-H","0.44",0.06," 0.22","0.084"," 0.17","0.068"
"G-I","0.74*",0.03," 0.78*","0.026"," 0.46*","0.034"
"G-M","0.65",0.065," 0.64","0.062"," 0.36","0.062"
"G-MF","0.09",0.67," 0.03","0.356","-0.03","0.506"
"G-MW","0.84*",0.03," 0.95*","0.029"," 0.54*","0.026"
"G-WF","0.53",0.073," 0.45","0.061"," 0.28","0.063"
"G-WM","0.45",0.112," 0.33","0.1"," 0.21","0.091"
"H-I","0.51*",0.032," 0.50*","0.032"," 0.23*","0.024"
"H-M","0.81*",0.027," 0.91*","0.025"," 0.53*","0.029"
"H-MF","0.26",0.085," 0.21","0.112"," 0.09","0.06"
"H-MW","0.92*",0.02," 1.00*","0.039"," 0.67*","0.031"
"H-WF","0.70*",0.028," 0.67*","0.036"," 0.44*","0.016"
"H-WM","0.10",0.488," 0.11","0.217"," 0.01","0.292"
"I-M","0.88*",0.031," 0.96*","0.034"," 0.64*","0.023"
"I-MF","0.39*",0.037," 0.61*","0.031"," 0.25*","0.035"
"I-MW","0.95*",0.028," 1.00*","0.03"," 0.75*","0.03"
"I-WF","0.78*",0.034," 0.73*","0.034"," 0.55*","0.027"
"I-WM","0.16",0.357," 0.03","0.335"," 0.01","0.293"
"M-MF","0.13",0.389," 0.31","0.073"," 0.10","0.201"
"M-MW","0.21",0.258,"-0.06","0.532"," 0.02","0.304"
"M-WF","0.03",0.7,"-0.01","0.301","-0.04","0.469"
"M-WM","0.80*",0.018," 0.89*","0.024"," 0.51*","0.033"
"MF-MW","0.29",0.123," 0.46","0.084"," 0.23","0.135"
"MF-WF","0.14",0.319," 0.17","0.203"," 0.04","0.194"
"MF-WM","0.30",0.084," 0.25","0.112"," 0.11","0.076"
"MW-WF","0.10",0.436," 0.10","0.24"," 0.02","0.329"
"MW-WM","0.90*",0.025," 1.00*","0.034"," 0.64*","0.031"
"WF-WM","0.70*",0.023," 0.66*","0.026"," 0.43*","0.026"
