"Site_comparision","R2","P.x","ANOSIM-R","P.y","MRPP-A","P"
"Overall","0.62***",0.001,"0.63***","0.001","0.33***","0.001"
"C-D","0.15",0.474,"0.25","0.059","0.03","0.264"
"C-E","0.37*",0.029,"0.62*","0.035","0.16*","0.029"
"C-F","0.31*",0.037,"0.43*","0.027","0.12*","0.033"
"C-G","0.43*",0.028,"0.60*","0.029","0.19*","0.022"
"C-H","0.50*",0.029,"0.62*","0.032","0.24*","0.032"
"C-I","0.60*",0.04,"0.68*","0.03","0.32*","0.032"
"C-M","0.46*",0.029,"0.90*","0.027","0.22*","0.036"
"C-MF","0.34",0.063,"0.35","0.069","0.16*","0.024"
"C-MW","0.51*",0.037,"0.93*","0.019","0.25*","0.029"
"C-WF","0.51*",0.035,"0.85*","0.032","0.25*","0.029"
"C-WM","0.54*",0.034,"0.66*","0.029","0.28*","0.03"
"D-E","0.31*",0.026,"0.61*","0.042","0.13*","0.03"
"D-F","0.24*",0.03,"0.31*","0.031","0.09*","0.034"
"D-G","0.33*",0.026,"0.56*","0.029","0.14*","0.024"
"D-H","0.41*",0.029,"0.62*","0.032","0.20*","0.026"
"D-I","0.48*",0.027,"0.62*","0.04","0.26*","0.025"
"D-M","0.30",0.051,"0.45","0.059","0.14","0.06"
"D-MF","0.25",0.11,"0.19","0.191","0.10","0.085"
"D-MW","0.35*",0.049,"0.50*","0.024","0.18*","0.031"
"D-WF","0.38*",0.027,"0.46*","0.032","0.19*","0.033"
"D-WM","0.44*",0.026,"0.62*","0.027","0.22*","0.024"
"E-F","0.33*",0.041,"0.49*","0.03","0.12*","0.033"
"E-G","0.49*",0.028,"0.91*","0.033","0.22*","0.023"
"E-H","0.46*",0.024,"1.00*","0.023","0.20*","0.034"
"E-I","0.60*",0.029,"1.00*","0.033","0.30*","0.023"
"E-M","0.62*",0.026,"1.00*","0.025","0.33*","0.023"
"E-MF","0.39*",0.039,"0.59*","0.025","0.21*","0.035"
"E-MW","0.69*",0.029,"1.00*","0.033","0.38*","0.032"
"E-WF","0.63*",0.034,"0.97*","0.039","0.35*","0.031"
"E-WM","0.53*",0.038,"0.94*","0.028","0.26*","0.028"
"F-G","0.41*",0.028,"0.76*","0.033","0.17*","0.03"
"F-H","0.46*",0.027,"0.76*","0.03","0.20*","0.035"
"F-I","0.58*",0.023,"0.95*","0.036","0.28*","0.028"
"F-M","0.56*",0.032,"0.94*","0.034","0.27*","0.037"
"F-MF","0.35*",0.022,"0.54*","0.026","0.18*","0.034"
"F-MW","0.62*",0.031,"1.00*","0.033","0.32*","0.023"
"F-WF","0.59*",0.032,"0.90*","0.024","0.31*","0.043"
"F-WM","0.52*",0.04,"0.82*","0.035","0.25*","0.029"
"G-H","0.45*",0.022,"0.86*","0.026","0.20*","0.033"
"G-I","0.54*",0.021,"0.95*","0.036","0.26*","0.03"
"G-M","0.54*",0.029,"0.93*","0.029","0.26*","0.03"
"G-MF","0.32*",0.024,"0.58*","0.036","0.15*","0.029"
"G-MW","0.61*",0.025,"1.00*","0.033","0.31*","0.016"
"G-WF","0.58*",0.026,"0.91*","0.027","0.30*","0.034"
"G-WM","0.50*",0.02,"0.95*","0.026","0.23*","0.026"
"H-I","0.42*",0.036,"0.83*","0.039","0.17*","0.033"
"H-M","0.64*",0.035,"0.99*","0.027","0.34*","0.032"
"H-MF","0.38*",0.033,"0.62*","0.034","0.20*","0.031"
"H-MW","0.71*",0.028,"1.00*","0.032","0.40*","0.032"
"H-WF","0.65*",0.032,"0.92*","0.029","0.36*","0.022"
"H-WM","0.41*",0.032,"0.65*","0.032","0.17*","0.03"
"I-M","0.67*",0.034,"0.98*","0.035","0.37*","0.033"
"I-MF","0.40*",0.035,"0.62*","0.035","0.20*","0.031"
"I-MW","0.74*",0.029,"1.00*","0.037","0.43*","0.026"
"I-WF","0.67*",0.033,"0.94*","0.032","0.38*","0.025"
"I-WM","0.35*",0.034,"0.47*","0.03","0.14*","0.027"
"M-MF","0.28",0.137,"0.42","0.096","0.12*","0.05"
"M-MW","0.41*",0.031,"0.96*","0.032","0.17*","0.037"
"M-WF","0.41*",0.027,"0.91*","0.035","0.18*","0.028"
"M-WM","0.62*",0.03,"0.95*","0.018","0.32*","0.037"
"MF-MW","0.37",0.098,"0.50","0.077","0.18","0.069"
"MF-WF","0.30",0.092,"0.24","0.179","0.12","0.102"
"MF-WM","0.32*",0.03,"0.57*","0.034","0.14*","0.03"
"MW-WF","0.49*",0.026,"0.97*","0.028","0.23*","0.035"
"MW-WM","0.69*",0.028,"1.00*","0.024","0.38*","0.026"
"WF-WM","0.63*",0.028,"0.85*","0.026","0.34*","0.028"
