"Site_comparision","R2","P.x","ANOSIM-R","P.y","MRPP-A","P"
"Overall","0.84***",0.001," 0.80***","0.001"," 0.53***","0.001"
"C-D","0.13",0.413,"-0.03","0.513"," 0.00","0.478"
"C-E","0.30",0.084," 0.34","0.075"," 0.10","0.077"
"C-F","0.22",0.162," 0.31","0.077"," 0.06","0.133"
"C-G","0.52*",0.035," 0.90*","0.027"," 0.26*","0.033"
"C-H","0.64*",0.027," 0.98*","0.036"," 0.35*","0.033"
"C-I","0.61*",0.036," 1.00*","0.032"," 0.32*","0.025"
"C-M","0.90*",0.028," 1.00*","0.028"," 0.63*","0.021"
"C-MF","0.86*",0.026," 1.00*","0.029"," 0.57*","0.031"
"C-MW","0.80*",0.029," 1.00*","0.033"," 0.50*","0.025"
"C-WF","0.88*",0.034," 1.00*","0.035"," 0.60*","0.024"
"C-WM","0.73*",0.03," 1.00*","0.026"," 0.44*","0.031"
"D-E","0.12",0.626,"-0.11","0.798","-0.03","0.74"
"D-F","0.20",0.225," 0.15","0.19"," 0.04","0.167"
"D-G","0.42*",0.037," 0.75*","0.034"," 0.18*","0.026"
"D-H","0.55*",0.024," 0.88*","0.031"," 0.27*","0.027"
"D-I","0.54*",0.042," 0.94*","0.029"," 0.25*","0.027"
"D-M","0.88*",0.033," 1.00*","0.029"," 0.60*","0.036"
"D-MF","0.83*",0.032," 1.00*","0.034"," 0.53*","0.028"
"D-MW","0.77*",0.023," 1.00*","0.031"," 0.46*","0.022"
"D-WF","0.86*",0.023," 1.00*","0.03"," 0.57*","0.031"
"D-WM","0.71*",0.039," 1.00*","0.037"," 0.41*","0.028"
"E-F","0.20",0.189,"-0.02","0.56"," 0.02","0.275"
"E-G","0.38*",0.032," 0.69*","0.025"," 0.14*","0.027"
"E-H","0.48*",0.017," 0.90*","0.023"," 0.22*","0.02"
"E-I","0.49*",0.026," 1.00*","0.028"," 0.22*","0.029"
"E-M","0.90*",0.031," 1.00*","0.029"," 0.63*","0.031"
"E-MF","0.86*",0.03," 1.00*","0.033"," 0.56*","0.03"
"E-MW","0.80*",0.025," 1.00*","0.032"," 0.49*","0.03"
"E-WF","0.88*",0.03," 1.00*","0.03"," 0.60*","0.033"
"E-WM","0.73*",0.034," 1.00*","0.028"," 0.43*","0.026"
"F-G","0.41*",0.024," 0.69*","0.031"," 0.17*","0.02"
"F-H","0.54*",0.036," 0.90*","0.033"," 0.26*","0.021"
"F-I","0.57*",0.037," 1.00*","0.038"," 0.28*","0.032"
"F-M","0.90*",0.03," 1.00*","0.042"," 0.64*","0.035"
"F-MF","0.86*",0.033," 1.00*","0.031"," 0.57*","0.022"
"F-MW","0.80*",0.031," 1.00*","0.033"," 0.50*","0.039"
"F-WF","0.88*",0.033," 1.00*","0.036"," 0.60*","0.028"
"F-WM","0.73*",0.031," 1.00*","0.024"," 0.43*","0.021"
"G-H","0.23",0.062," 0.17","0.105"," 0.05","0.055"
"G-I","0.28*",0.031," 0.28","0.062"," 0.08*","0.033"
"G-M","0.90*",0.028," 1.00*","0.032"," 0.62*","0.038"
"G-MF","0.84*",0.033," 1.00*","0.029"," 0.53*","0.027"
"G-MW","0.77*",0.025," 0.97*","0.036"," 0.46*","0.036"
"G-WF","0.87*",0.021," 1.00*","0.028"," 0.58*","0.032"
"G-WM","0.67*",0.021," 0.89*","0.02"," 0.37*","0.023"
"H-I","0.32",0.058," 0.48*","0.05"," 0.10","0.051"
"H-M","0.92*",0.028," 1.00*","0.027"," 0.66*","0.03"
"H-MF","0.86*",0.022," 1.00*","0.031"," 0.55*","0.022"
"H-MW","0.80*",0.025," 0.99*","0.03"," 0.49*","0.037"
"H-WF","0.89*",0.029," 1.00*","0.026"," 0.61*","0.028"
"H-WM","0.71*",0.031," 0.95*","0.028"," 0.41*","0.033"
"I-M","0.87*",0.032," 1.00*","0.028"," 0.58*","0.028"
"I-MF","0.80*",0.027," 1.00*","0.028"," 0.49*","0.036"
"I-MW","0.71*",0.03," 0.96*","0.03"," 0.40*","0.024"
"I-WF","0.84*",0.034," 1.00*","0.029"," 0.54*","0.022"
"I-WM","0.61*",0.036," 0.82*","0.035"," 0.31*","0.033"
"M-MF","0.36*",0.031," 0.57*","0.028"," 0.14*","0.026"
"M-MW","0.35",0.094," 0.19","0.158"," 0.11","0.094"
"M-WF","0.68*",0.032," 1.00*","0.037"," 0.39*","0.033"
"M-WM","0.51",0.054," 0.65*","0.049"," 0.28","0.063"
"MF-MW","0.31",0.176," 0.26","0.067"," 0.10","0.134"
"MF-WF","0.57*",0.029," 0.87*","0.029"," 0.29*","0.03"
"MF-WM","0.39",0.114," 0.43","0.108"," 0.18*","0.05"
"MW-WF","0.62*",0.029," 0.90*","0.028"," 0.34*","0.029"
"MW-WM","0.18",0.296," 0.16","0.237"," 0.05","0.165"
"WF-WM","0.56*",0.021," 0.83*","0.035"," 0.31*","0.024"
