"Site_comparision","R2","P.x","ANOSIM-R","P.y","MRPP-A","P"
"Overall","0.84***",0.001," 0.75***","0.001"," 0.53***","0.001"
"C-D","0.17",0.328,"-0.01","0.365"," 0.01","0.361"
"C-E","0.25",0.261," 0.19","0.232"," 0.06","0.262"
"C-F","0.09",0.67,"-0.07","0.552","-0.02","0.613"
"C-G","0.47*",0.023," 0.66*","0.049"," 0.23*","0.037"
"C-H","0.62*",0.023," 0.89*","0.025"," 0.34*","0.027"
"C-I","0.68*",0.02," 1.00*","0.029"," 0.37*","0.021"
"C-M","0.88*",0.035," 1.00*","0.036"," 0.61*","0.037"
"C-MF","0.82*",0.039," 1.00*","0.034"," 0.52*","0.034"
"C-MW","0.80*",0.025," 1.00*","0.022"," 0.51*","0.034"
"C-WF","0.88*",0.032," 1.00*","0.031"," 0.60*","0.032"
"C-WM","0.72*",0.039," 0.98*","0.033"," 0.43*","0.039"
"D-E","0.10",0.55,"-0.18","0.881","-0.04","0.692"
"D-F","0.18",0.314,"-0.02","0.524"," 0.02","0.305"
"D-G","0.40*",0.037," 0.52*","0.027"," 0.17*","0.026"
"D-H","0.56*",0.029," 0.78*","0.034"," 0.28*","0.027"
"D-I","0.65*",0.037," 1.00*","0.03"," 0.34*","0.039"
"D-M","0.88*",0.028," 1.00*","0.029"," 0.60*","0.031"
"D-MF","0.82*",0.03," 1.00*","0.033"," 0.51*","0.029"
"D-MW","0.80*",0.032," 1.00*","0.029"," 0.50*","0.034"
"D-WF","0.87*",0.028," 1.00*","0.034"," 0.59*","0.031"
"D-WM","0.73*",0.03," 1.00*","0.031"," 0.44*","0.035"
"E-F","0.22",0.189," 0.00","0.57"," 0.04","0.168"
"E-G","0.33",0.056," 0.42","0.072"," 0.12","0.052"
"E-H","0.49*",0.033," 0.75*","0.02"," 0.22*","0.024"
"E-I","0.60*",0.03," 1.00*","0.026"," 0.30*","0.024"
"E-M","0.89*",0.026," 1.00*","0.032"," 0.60*","0.019"
"E-MF","0.83*",0.032," 1.00*","0.019"," 0.52*","0.032"
"E-MW","0.78*",0.033," 1.00*","0.022"," 0.49*","0.037"
"E-WF","0.88*",0.033," 1.00*","0.037"," 0.59*","0.028"
"E-WM","0.72*",0.027," 0.99*","0.038"," 0.42*","0.03"
"F-G","0.39*",0.032," 0.49*","0.043"," 0.16*","0.032"
"F-H","0.58*",0.034," 0.85*","0.035"," 0.29*","0.035"
"F-I","0.68*",0.039," 1.00*","0.026"," 0.37*","0.026"
"F-M","0.90*",0.04," 1.00*","0.034"," 0.63*","0.027"
"F-MF","0.85*",0.029," 1.00*","0.035"," 0.55*","0.026"
"F-MW","0.82*",0.023," 1.00*","0.026"," 0.53*","0.03"
"F-WF","0.89*",0.039," 1.00*","0.031"," 0.62*","0.029"
"F-WM","0.75*",0.032," 1.00*","0.029"," 0.46*","0.033"
"G-H","0.19",0.261," 0.15","0.166"," 0.03","0.19"
"G-I","0.40*",0.027," 0.43*","0.034"," 0.15*","0.026"
"G-M","0.89*",0.026," 1.00*","0.027"," 0.62*","0.03"
"G-MF","0.81*",0.026," 1.00*","0.034"," 0.51*","0.023"
"G-MW","0.79*",0.036," 1.00*","0.029"," 0.50*","0.032"
"G-WF","0.85*",0.043," 1.00*","0.04"," 0.57*","0.02"
"G-WM","0.69*",0.032," 0.91*","0.036"," 0.40*","0.02"
"H-I","0.36*",0.029," 0.54*","0.032"," 0.14*","0.028"
"H-M","0.92*",0.036," 1.00*","0.025"," 0.66*","0.031"
"H-MF","0.85*",0.035," 1.00*","0.026"," 0.55*","0.024"
"H-MW","0.82*",0.044," 0.97*","0.034"," 0.53*","0.032"
"H-WF","0.88*",0.027," 1.00*","0.02"," 0.59*","0.04"
"H-WM","0.73*",0.036," 0.89*","0.023"," 0.44*","0.03"
"I-M","0.86*",0.039," 1.00*","0.028"," 0.56*","0.026"
"I-MF","0.76*",0.035," 1.00*","0.022"," 0.43*","0.029"
"I-MW","0.71*",0.024," 0.82*","0.029"," 0.40*","0.03"
"I-WF","0.77*",0.028," 1.00*","0.027"," 0.46*","0.031"
"I-WM","0.59*",0.023," 0.66*","0.036"," 0.29*","0.031"
"M-MF","0.23",0.315," 0.44","0.09"," 0.08","0.207"
"M-MW","0.28",0.188," 0.05","0.349"," 0.06","0.187"
"M-WF","0.74*",0.023," 1.00*","0.022"," 0.44*","0.042"
"M-WM","0.45",0.075," 0.60*","0.044"," 0.24","0.052"
"MF-MW","0.18",0.377," 0.02","0.455"," 0.03","0.348"
"MF-WF","0.49*",0.034," 0.56*","0.034"," 0.21*","0.031"
"MF-WM","0.26",0.115," 0.20","0.148"," 0.08","0.124"
"MW-WF","0.60*",0.03," 0.85*","0.037"," 0.35*","0.024"
"MW-WM","0.19",0.295," 0.15","0.167"," 0.07","0.164"
"WF-WM","0.43*",0.031," 0.59*","0.03"," 0.24*","0.031"
