"Site_comparision","R2","P.x","ANOSIM-R","P.y","MRPP-A","P"
"Overall","0.68***",0.001,"0.90***","0.001","0.35***","0.001"
"C-D","0.19",0.232,"0.16","0.238","0.03","0.183"
"C-E","0.39*",0.04,"0.85*","0.03","0.16*","0.04"
"C-F","0.45*",0.039,"0.92*","0.025","0.20*","0.024"
"C-G","0.47*",0.032,"1.00*","0.03","0.21*","0.025"
"C-H","0.54*",0.025,"1.00*","0.028","0.26*","0.025"
"C-I","0.52*",0.033,"1.00*","0.028","0.25*","0.029"
"C-M","0.71*",0.027,"1.00*","0.027","0.39*","0.033"
"C-MF","0.65*",0.027,"1.00*","0.027","0.33*","0.034"
"C-MW","0.65*",0.026,"1.00*","0.027","0.35*","0.03"
"C-WF","0.71*",0.033,"1.00*","0.034","0.39*","0.028"
"C-WM","0.57*",0.029,"1.00*","0.016","0.28*","0.029"
"D-E","0.30*",0.028,"0.74*","0.028","0.10*","0.026"
"D-F","0.41*",0.021,"0.98*","0.031","0.16*","0.02"
"D-G","0.45*",0.02,"1.00*","0.023","0.19*","0.03"
"D-H","0.52*",0.028,"1.00*","0.032","0.24*","0.027"
"D-I","0.50*",0.032,"1.00*","0.026","0.22*","0.023"
"D-M","0.68*",0.026,"1.00*","0.033","0.37*","0.025"
"D-MF","0.62*",0.028,"1.00*","0.024","0.30*","0.03"
"D-MW","0.63*",0.029,"1.00*","0.017","0.32*","0.039"
"D-WF","0.68*",0.039,"1.00*","0.031","0.37*","0.038"
"D-WM","0.55*",0.035,"1.00*","0.03","0.26*","0.037"
"E-F","0.21",0.051,"0.28","0.078","0.04","0.054"
"E-G","0.37*",0.031,"0.99*","0.028","0.14*","0.031"
"E-H","0.45*",0.024,"1.00*","0.036","0.19*","0.023"
"E-I","0.44*",0.026,"1.00*","0.028","0.19*","0.027"
"E-M","0.68*",0.027,"1.00*","0.025","0.36*","0.029"
"E-MF","0.62*",0.025,"1.00*","0.031","0.30*","0.036"
"E-MW","0.61*",0.043,"1.00*","0.03","0.31*","0.034"
"E-WF","0.68*",0.032,"1.00*","0.029","0.37*","0.033"
"E-WM","0.53*",0.024,"1.00*","0.029","0.25*","0.031"
"F-G","0.36*",0.023,"0.90*","0.031","0.13*","0.045"
"F-H","0.45*",0.028,"1.00*","0.031","0.19*","0.038"
"F-I","0.46*",0.031,"1.00*","0.032","0.20*","0.038"
"F-M","0.71*",0.033,"1.00*","0.028","0.39*","0.031"
"F-MF","0.66*",0.029,"1.00*","0.032","0.33*","0.027"
"F-MW","0.65*",0.038,"1.00*","0.036","0.34*","0.026"
"F-WF","0.72*",0.029,"1.00*","0.023","0.40*","0.03"
"F-WM","0.55*",0.03,"1.00*","0.03","0.26*","0.027"
"G-H","0.24*",0.032,"0.65*","0.028","0.06*","0.045"
"G-I","0.30*",0.028,"0.88*","0.038","0.09*","0.03"
"G-M","0.61*",0.031,"1.00*","0.029","0.31*","0.033"
"G-MF","0.55*",0.029,"1.00*","0.03","0.25*","0.026"
"G-MW","0.52*",0.023,"1.00*","0.028","0.24*","0.03"
"G-WF","0.62*",0.019,"1.00*","0.034","0.32*","0.03"
"G-WM","0.42*",0.024,"0.98*","0.028","0.17*","0.04"
"H-I","0.23*",0.035,"0.42*","0.021","0.05*","0.029"
"H-M","0.64*",0.032,"1.00*","0.029","0.33*","0.029"
"H-MF","0.58*",0.037,"1.00*","0.033","0.27*","0.03"
"H-MW","0.55*",0.027,"1.00*","0.029","0.26*","0.029"
"H-WF","0.65*",0.023,"1.00*","0.033","0.34*","0.016"
"H-WM","0.43*",0.031,"0.96*","0.022","0.18*","0.034"
"I-M","0.57*",0.035,"1.00*","0.028","0.28*","0.043"
"I-MF","0.52*",0.035,"1.00*","0.032","0.23*","0.029"
"I-MW","0.47*",0.03,"0.97*","0.021","0.21*","0.028"
"I-WF","0.59*",0.028,"1.00*","0.029","0.30*","0.03"
"I-WM","0.37*",0.025,"0.85*","0.023","0.14*","0.041"
"M-MF","0.34*",0.032,"0.80*","0.029","0.10*","0.03"
"M-MW","0.27*",0.028,"0.54*","0.027","0.08*","0.029"
"M-WF","0.66*",0.023,"1.00*","0.024","0.35*","0.036"
"M-WM","0.41*",0.027,"0.78*","0.032","0.17*","0.027"
"MF-MW","0.37*",0.033,"0.94*","0.023","0.13*","0.021"
"MF-WF","0.58*",0.034,"1.00*","0.03","0.27*","0.029"
"MF-WM","0.41*",0.035,"0.91*","0.035","0.16*","0.03"
"MW-WF","0.64*",0.029,"1.00*","0.046","0.33*","0.024"
"MW-WM","0.26",0.063,"0.54","0.058","0.08","0.051"
"WF-WM","0.57*",0.022,"1.00*","0.029","0.29*","0.036"
