"Site_comparision","R2","P.x","ANOSIM-R","P.y","MRPP-A","P"
"Overall","0.10",0.271," 0.04","0.095"," 0.01","0.277"
"BDF-BEF","0.03",0.625," 0.22","0.076"," 0.00","0.399"
"BDF-CBF","0.01",0.649," 0.10","0.188","-0.03","0.587"
"BDF-CF","0.02",0.574," 0.12","0.148","-0.03","0.642"
"BDF-NSF","0.01",0.699," 0.14","0.156","-0.04","0.951"
"BDF-SF","0.05",0.412," 0.08","0.241","-0.05","0.969"
"BEF-CBF","0.00",0.869,"-0.07","0.81","-0.01","0.47"
"BEF-CF","0.00",0.86,"-0.06","0.739","-0.02","0.581"
"BEF-NSF","0.08",0.195," 0.04","0.284"," 0.03","0.171"
"BEF-SF","0.20",0.053," 0.11","0.12"," 0.09","0.058"
"CBF-CF","0.00",0.944,"-0.02","0.53","-0.02","0.655"
"CBF-NSF","0.06",0.23," 0.09","0.07"," 0.03","0.166"
"CBF-SF","0.14",0.06," 0.11","0.068"," 0.06","0.07"
"CF-NSF","0.08",0.143," 0.01","0.312"," 0.01","0.266"
"CF-SF","0.18*",0.044," 0.06","0.132"," 0.06","0.068"
"NSF-SF","0.03",0.385,"-0.05","0.879","-0.02","0.702"
