"Site_comparision","R2","P.x","ANOSIM-R","P.y","MRPP-A","P"
"Overall","0.54***",0.001,"0.47***","0.001","0.30***","0.001"
"BDF-BEF","0.30*",0.013,"0.27*","0.039","0.17**","0.009"
"BDF-CBF","0.47***",0.001,"0.57***","0.001","0.26**","0.002"
"BDF-CF","0.18",0.075,"0.14","0.109","0.11*","0.021"
"BDF-NSF","0.24**",0.009,"0.22","0.056","0.14**","0.002"
"BDF-SF","0.37***",0.001,"0.55***","0.001","0.21***","0.001"
"BEF-CBF","0.60***",0.001,"0.84***","0.001","0.33***","0.001"
"BEF-CF","0.38***",0.001,"0.50***","0.001","0.19**","0.003"
"BEF-NSF","0.21**",0.005,"0.27**","0.009","0.09**","0.005"
"BEF-SF","0.15**",0.008,"0.29***","0.001","0.06**","0.006"
"CBF-CF","0.16*",0.023,"0.08","0.079","0.05*","0.032"
"CBF-NSF","0.50***",0.001,"0.60***","0.001","0.26***","0.001"
"CBF-SF","0.66***",0.001,"0.92***","0.001","0.38***","0.001"
"CF-NSF","0.30***",0.001,"0.37**","0.002","0.15***","0.001"
"CF-SF","0.44***",0.001,"0.58***","0.001","0.23***","0.001"
"NSF-SF","0.36***",0.001,"0.56***","0.001","0.18***","0.001"
