"Site_comparision","R2","P.x","ANOSIM-R","P.y","MRPP-A","P"
"Overall","0.39***",0.001,"0.74***","0.001","0.18***","0.001"
"BDF-BEF","0.23**",0.003,"0.46*","0.012","0.09**","0.002"
"BDF-CBF","0.24***",0.001,"0.72***","0.001","0.10***","0.001"
"BDF-CF","0.26***",0.001,"0.69***","0.001","0.11***","0.001"
"BDF-NSF","0.25***",0.001,"0.67***","0.001","0.11**","0.002"
"BDF-SF","0.44**",0.002,"1.00***","0.001","0.21**","0.002"
"BEF-CBF","0.32***",0.001,"0.93***","0.001","0.15***","0.001"
"BEF-CF","0.28***",0.001,"0.87***","0.001","0.13***","0.001"
"BEF-NSF","0.21***",0.001,"0.73***","0.001","0.09***","0.001"
"BEF-SF","0.35***",0.001,"0.95***","0.001","0.16***","0.001"
"CBF-CF","0.10**",0.002,"0.19**","0.004","0.03**","0.004"
"CBF-NSF","0.23***",0.001,"0.67***","0.001","0.10***","0.001"
"CBF-SF","0.39***",0.001,"0.99***","0.001","0.19***","0.001"
"CF-NSF","0.18***",0.001,"0.61***","0.001","0.08***","0.001"
"CF-SF","0.27***",0.001,"0.81***","0.001","0.12***","0.001"
"NSF-SF","0.28***",0.001,"0.94***","0.001","0.13***","0.001"
