"Site_comparision","R2","P.x","ANOSIM-R","P.y","MRPP-A","P"
"Overall","0.15**",0.003,"0.11***","0.001"," 0.09***","0.001"
"AND-BCI","0.02",0.361,"0.01","0.321"," 0.00","0.337"
"AND-CWT","0.11*",0.039,"0.14***","0.001"," 0.07**","0.01"
"AND-HFR","0.11*",0.026,"0.16**","0.005"," 0.08*","0.013"
"AND-LUQ","0.01",0.621,"0.00","0.39","-0.01","0.471"
"AND-NWT","0.03",0.271,"0.08*","0.018"," 0.03","0.089"
"BCI-CWT","0.25**",0.002,"0.18**","0.003"," 0.13***","0.001"
"BCI-HFR","0.24***",0.001,"0.27***","0.001"," 0.15***","0.001"
"BCI-LUQ","0.00",0.653,"0.01","0.25"," 0.00","0.375"
"BCI-NWT","0.12*",0.027,"0.08*","0.03"," 0.06*","0.039"
"CWT-HFR","0.01",0.637,"0.08*","0.021"," 0.01","0.18"
"CWT-LUQ","0.14**",0.01,"0.15**","0.002"," 0.10**","0.007"
"CWT-NWT","0.05",0.13,"0.03","0.116"," 0.02","0.123"
"HFR-LUQ","0.15**",0.008,"0.18**","0.005"," 0.10**","0.008"
"HFR-NWT","0.06",0.091,"0.20**","0.002"," 0.06*","0.015"
"LUQ-NWT","0.06",0.1,"0.11*","0.024"," 0.05*","0.027"
