"Site_comparision","R2","P.x","ANOSIM-R","P.y","MRPP-A","P"
"Overall","0.62***",0.001,"0.72***","0.001","0.39***","0.001"
"AND-BCI","0.56***",0.001,"0.88***","0.001","0.31***","0.001"
"AND-CWT","0.37***",0.001,"0.65***","0.001","0.20***","0.001"
"AND-HFR","0.44***",0.001,"0.69***","0.001","0.24***","0.001"
"AND-LUQ","0.19***",0.001,"0.43***","0.001","0.11***","0.001"
"AND-NWT","0.26***",0.001,"0.56***","0.001","0.14***","0.001"
"BCI-CWT","0.74***",0.001,"0.99***","0.001","0.46***","0.001"
"BCI-HFR","0.80***",0.001,"1.00***","0.001","0.52***","0.001"
"BCI-LUQ","0.32***",0.001,"0.55***","0.001","0.18***","0.001"
"BCI-NWT","0.72***",0.001,"0.99***","0.001","0.43***","0.001"
"CWT-HFR","0.31***",0.001,"0.49***","0.001","0.16***","0.001"
"CWT-LUQ","0.28***",0.001,"0.50***","0.001","0.17***","0.001"
"CWT-NWT","0.46***",0.001,"0.79***","0.001","0.25***","0.001"
"HFR-LUQ","0.43***",0.001,"0.69***","0.001","0.27***","0.001"
"HFR-NWT","0.49***",0.001,"0.86***","0.001","0.28***","0.001"
"LUQ-NWT","0.39***",0.001,"0.70***","0.001","0.23***","0.001"
