"Site_comparision","R2","P.x","ANOSIM-R","P.y","MRPP-A","P"
"Overall","0.57***",0.001,"0.89***","0.001","0.33***","0.001"
"AND-BCI","0.47***",0.001,"0.96***","0.001","0.26***","0.001"
"AND-CWT","0.27***",0.001,"0.72***","0.001","0.14***","0.001"
"AND-HFR","0.36***",0.001,"0.80***","0.001","0.19***","0.001"
"AND-LUQ","0.34***",0.001,"0.90***","0.001","0.18***","0.001"
"AND-NWT","0.28***",0.001,"0.77***","0.001","0.14***","0.001"
"BCI-CWT","0.58***",0.001,"1.00***","0.001","0.32***","0.001"
"BCI-HFR","0.65***",0.001,"1.00***","0.001","0.38***","0.001"
"BCI-LUQ","0.26***",0.001,"0.63***","0.001","0.13***","0.001"
"BCI-NWT","0.62***",0.001,"1.00***","0.001","0.35***","0.001"
"CWT-HFR","0.35***",0.001,"0.81***","0.001","0.18***","0.001"
"CWT-LUQ","0.37***",0.001,"0.89***","0.001","0.20***","0.001"
"CWT-NWT","0.41***",0.001,"0.97***","0.001","0.22***","0.001"
"HFR-LUQ","0.49***",0.001,"0.99***","0.001","0.27***","0.001"
"HFR-NWT","0.43***",0.001,"0.99***","0.001","0.23***","0.001"
"LUQ-NWT","0.48***",0.001,"1.00***","0.001","0.26***","0.001"
